"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",16.291,13.008,20.097,,"Average","3-year moving average","2014 to 2016"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",18.317,14.748,22.284,,"Average","3-year moving average","2015 to 2017"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",19.721,16.046,24.15,,"Average","3-year moving average","2016 to 2018"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",20.09,16.159,24.72,,"Average","3-year moving average","2017 to 2019"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",19.502,15.497,24.378,,"Average","3-year moving average","2018 to 2020"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",18.877,14.943,23.724,,"Average","3-year moving average","2019 to 2021"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",19.71,15.708,24.524,,"Average","3-year moving average","2020 to 2022"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",23.483,19.254,28.554,,"Average","3-year moving average","2021 to 2023"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","he_entry","he_entry",,,"2014 to 2024",25.045,20.839,29.967,,"Average","3-year moving average","2022 to 2024"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",20.545,16.92,24.858,,"Average","3-year moving average","2014 to 2016"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",23.01,19.162,27.421,,"Average","3-year moving average","2015 to 2017"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",23.887,19.756,28.278,,"Average","3-year moving average","2016 to 2018"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",24.423,20.35,29.135,,"Average","3-year moving average","2017 to 2019"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",27.365,22.882,32.139,,"Average","3-year moving average","2018 to 2020"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",31.111,26.188,36.235,,"Average","3-year moving average","2019 to 2021"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",34.084,28.913,39.957,,"Average","3-year moving average","2020 to 2022"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",33.971,28.132,40.082,,"Average","3-year moving average","2021 to 2023"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","he_entry","he_entry",,,"2014 to 2024",32.037,26.673,38.249,,"Average","3-year moving average","2022 to 2024"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",29.458,25.442,34.108,,"Average","3-year moving average","2014 to 2016"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",30.812,26.541,35.491,,"Average","3-year moving average","2015 to 2017"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",30.553,26.144,35.314,,"Average","3-year moving average","2016 to 2018"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",28.778,24.353,33.42,,"Average","3-year moving average","2017 to 2019"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",30.432,25.985,35.468,,"Average","3-year moving average","2018 to 2020"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",32.995,28.329,38.154,,"Average","3-year moving average","2019 to 2021"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",33.639,28.927,38.81,,"Average","3-year moving average","2020 to 2022"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",33.955,29.187,39.089,,"Average","3-year moving average","2021 to 2023"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","he_entry","he_entry",,,"2014 to 2024",34.384,29.665,39.775,,"Average","3-year moving average","2022 to 2024"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",36.614,32.297,41.338,,"Average","3-year moving average","2014 to 2016"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",36.055,31.524,40.596,,"Average","3-year moving average","2015 to 2017"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",39.322,34.677,44.193,,"Average","3-year moving average","2016 to 2018"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",40.902,36.039,45.668,,"Average","3-year moving average","2017 to 2019"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",41.124,36.394,45.929,,"Average","3-year moving average","2018 to 2020"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",38.465,33.929,43.309,,"Average","3-year moving average","2019 to 2021"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",38.04,33.414,42.955,,"Average","3-year moving average","2020 to 2022"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",40.158,35.263,45.363,,"Average","3-year moving average","2021 to 2023"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","he_entry","he_entry",,,"2014 to 2024",41.676,37.031,46.611,,"Average","3-year moving average","2022 to 2024"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",43.906,38.795,49.139,,"Average","3-year moving average","2014 to 2016"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",42.721,37.728,47.766,,"Average","3-year moving average","2015 to 2017"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",44.269,39.131,49.192,,"Average","3-year moving average","2016 to 2018"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",46.475,41.363,51.494,,"Average","3-year moving average","2017 to 2019"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",46.693,41.747,51.553,,"Average","3-year moving average","2018 to 2020"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",48.624,43.973,53.532,,"Average","3-year moving average","2019 to 2021"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",47.955,43.25,52.61,,"Average","3-year moving average","2020 to 2022"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",50.052,45.4,54.6,,"Average","3-year moving average","2021 to 2023"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher professional","he_entry","he_entry",,,"2014 to 2024",48.512,43.679,53.181,,"Average","3-year moving average","2022 to 2024"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Total","he_entry","he_entry",,,"2014 to 2024",28.987,27.072,30.964,,"Average","3-year moving average","2014 to 2016"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Total","he_entry","he_entry",,,"2014 to 2024",30.028,28.112,32.066,,"Average","3-year moving average","2015 to 2017"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Total","he_entry","he_entry",,,"2014 to 2024",31.588,29.58,33.685,,"Average","3-year moving average","2016 to 2018"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Total","he_entry","he_entry",,,"2014 to 2024",32.429,30.379,34.581,,"Average","3-year moving average","2017 to 2019"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Total","he_entry","he_entry",,,"2014 to 2024",33.85,31.764,36.043,,"Average","3-year moving average","2018 to 2020"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Total","he_entry","he_entry",,,"2014 to 2024",35.062,32.947,37.282,,"Average","3-year moving average","2019 to 2021"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Total","he_entry","he_entry",,,"2014 to 2024",35.68,33.537,37.928,,"Average","3-year moving average","2020 to 2022"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Total","he_entry","he_entry",,,"2014 to 2024",37.332,35.08,39.612,,"Average","3-year moving average","2021 to 2023"
"in22","Entry to higher education","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Total","he_entry","he_entry",,,"2014 to 2024",37.244,35.057,39.511,,"Average","3-year moving average","2022 to 2024"
