Socio-economic background,Disabled,Lower level (below CSE grade 1),"O level, GCSE and equivalent",A level and equivalent,Further education below degree,First degree,Higher degree
Higher professional,Yes,5.937090168,8.111696225,21.65123177,7.661763816,34.87621815,21.60744911
,No,3.061258532,5.164116594,16.8020585,5.818601689,44.70431153,24.42278617
Lower professional,Yes,9.603220516,13.03018359,25.52080685,8.735156131,29.43885724,13.67177567
,No,4.312224306,7.870215953,22.51080994,7.122529017,40.26741403,17.89493555
Intermediate,Yes,14.88462954,15.93336678,30.47078107,8.454925573,19.96614819,10.14791771
,No,10.75795911,11.16890652,27.78246696,6.897495641,31.99148872,11.28294963
Higher working,Yes,21.02464592,17.85165296,32.84829476,5.550876311,19.4448193,3.279710745
,No,12.01788035,14.30942437,32.57844399,7.729016366,25.6810707,7.545220876
Lower working,Yes,30.26500616,21.75004258,28.2629823,6.053963069,10.93398391,2.636135018
,No,19.94885549,16.55067022,31.8693017,6.779276798,18.54735193,6.081115375
