Region,Difference compared to average
Bedfordshire and Hertfordshire,3.261755989
"Berkshire, Buckinghamshire and Oxfordshire",0.300806354
Cheshire,3.88525055
Cornwall and Isles of Scilly,-1.610028079
Cumbria,-1.531228268
Derbyshire and Nottinghamshire,-3.513865786
Devon,1.264583838
Dorset and Somerset,-1.602500799
East Anglia,-3.740297678
East Wales,-0.321735979
East Yorkshire and Northern Lincolnshire,-1.72679705
Eastern Scotland,0.246307518
Essex,1.061278708
"Gloucestershire, Wiltshire and Bath/Bristol area",-0.42044191
Greater Manchester,-1.615965194
Hampshire and Isle of Wight,-3.793723156
"Herefordshire, Worcestershire and Warwickshire",1.239269644
Highlands and Islands,-0.164386482
Inner London - East,7.889845807
Inner London - West,4.049319284
Kent,-0.313658554
Lancashire,-0.188991475
"Leicestershire, Rutland and Northamptonshire",0.430801354
Lincolnshire,-3.141918606
Merseyside,2.089379757
North Eastern Scotland,-1.830876925
North Yorkshire,4.062114715
Northern Ireland,-0.204205508
Northumberland and Tyne and Wear,-2.477278991
Outer London - East and North East,3.206921591
Outer London - South,-0.766728886
Outer London - West and North West,4.721484596
Shropshire and Staffordshire,-1.307468763
South Yorkshire,-2.916130014
Southern Scotland,-2.736911999
"Surrey, East and West Sussex",2.786859214
Tees Valley and Durham,-0.391999485
West Central Scotland,-3.390183559
West Midlands,0.455491878
West Wales and The Valleys,-1.008365606
West Yorkshire,-0.235782042
