ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,White British,NA,NA,17.88999953,341,16.7696008,19.0681041,0.039910719,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,White British,NA,NA,62.40617217,1094,60.7296336,64.0535017,0.036153561,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Bangladeshi,NA,NA,32.10577255,9,25.0699413,40.060503,0.176511158,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Bangladeshi,NA,NA,78.27436194,4,71.7869943,83.6105777,0.177448092,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Black African,NA,NA,31.96059149,16,26.7289542,37.6894913,0.128994104,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Black African,NA,NA,78.1607501,17,73.5482251,82.1640173,0.128793128,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Black Caribbean,NA,NA,19.04701627,4,14.7775859,24.1996775,0.155707817,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Black Caribbean,NA,NA,64.19146928,8,56.9342686,70.8518268,0.155360633,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Chinese,NA,NA,58.24253533,1,48.5191442,67.3647078,0.1999896,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Chinese,NA,NA,91.3991878,20,87.802812,94.0075334,0.198715444,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Indian,NA,NA,49.23151764,21,44.2033035,54.2753273,0.103147168,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Indian,NA,NA,88.0786634,63,85.7924143,90.039727,0.102929083,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Mixed,NA,NA,29.83238059,16,25.7077152,34.3131718,0.105060382,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Mixed,NA,NA,76.41106383,32,72.5095155,79.912291,0.104829986,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Other,NA,NA,29.24298523,7,25.6433124,33.1228692,0.092333873,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Other,NA,NA,75.89680692,60,72.506848,78.9898967,0.090449934,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,Pakistani,NA,NA,25.89537242,29,21.9165315,30.3161027,0.111794927,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,Pakistani,NA,NA,72.69551164,22,68.1356859,76.8247633,0.111841203,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Men,Ethnicity,White other,NA,NA,24.12574854,45,21.9999851,26.3874273,0.06115642,Percentage,Edu re-coded as binary: degree or not
IN23,Highest qualification,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Men,Ethnicity,White other,NA,NA,70.78251213,100,68.2827671,73.1626763,0.060226717,Percentage,Edu re-coded as binary: degree or not
