"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower working","disability","No",,,"2014-2024",18.105,17.054,19.2,5038,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower working","disability","Yes",,,"2014-2024",30.2,27.495,32.967,1114,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher working","disability","No",,,"2014-2024",10.947,10.117,11.854,5084,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher working","disability","Yes",,,"2014-2024",22.612,19.632,25.932,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Intermediate","disability","No",,,"2014-2024",9.617,8.922,10.367,6538,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Intermediate","disability","Yes",,,"2014-2024",14.76,12.489,17.388,846,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower professional","disability","No",,,"2014-2024",4.397,3.895,4.972,5769,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower professional","disability","Yes",,,"2014-2024",9.835,7.848,12.401,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher professional","disability","No",,,"2014-2024",2.652,2.232,3.148,4976,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher professional","disability","Yes",,,"2014-2024",9.202,7,12.081,541,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working","disability","No",,,"2014-2024",17.662,16.628,18.754,5038,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working","disability","Yes",,,"2014-2024",25.241,22.719,27.903,1114,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working","disability","No",,,"2014-2024",14.323,13.374,15.319,5084,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working","disability","Yes",,,"2014-2024",23.762,20.705,27.11,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate","disability","No",,,"2014-2024",11.205,10.462,12.007,6538,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate","disability","Yes",,,"2014-2024",18.275,15.804,21.132,846,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional","disability","No",,,"2014-2024",7.429,6.779,8.151,5769,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional","disability","Yes",,,"2014-2024",15.131,12.616,18.039,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","disability","No",,,"2014-2024",4.985,4.404,5.635,4976,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","disability","Yes",,,"2014-2024",9.519,7.162,12.286,541,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","disability","No",,,"2014-2024",30.628,29.36,31.924,5038,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","disability","Yes",,,"2014-2024",25.01,22.546,27.718,1114,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working","disability","No",,,"2014-2024",31.121,29.85,32.414,5084,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working","disability","Yes",,,"2014-2024",28.433,25.161,31.937,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate","disability","No",,,"2014-2024",26.615,25.549,27.706,6538,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate","disability","Yes",,,"2014-2024",30.384,27.317,33.621,846,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional","disability","No",,,"2014-2024",21.34,20.292,22.423,5769,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional","disability","Yes",,,"2014-2024",24.004,20.974,27.404,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional","disability","No",,,"2014-2024",15.683,14.682,16.722,4976,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional","disability","Yes",,,"2014-2024",23.239,19.837,27.129,541,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","disability","No",,,"2014-2024",6.855,6.173,7.589,5038,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","disability","Yes",,,"2014-2024",6.278,4.963,7.914,1114,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working","disability","No",,,"2014-2024",8.023,7.3,8.814,5084,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher working","disability","Yes",,,"2014-2024",5.586,4.001,7.532,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate","disability","No",,,"2014-2024",7.208,6.595,7.864,6538,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Intermediate","disability","Yes",,,"2014-2024",6.884,5.289,8.826,846,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional","disability","No",,,"2014-2024",6.852,6.215,7.537,5769,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower professional","disability","Yes",,,"2014-2024",7.602,5.839,9.911,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional","disability","No",,,"2014-2024",5.149,4.555,5.804,4976,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Further education below degree","seb","Higher professional","disability","Yes",,,"2014-2024",8.586,6.355,11.259,541,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Lower working","disability","No",,,"2014-2024",20.676,19.577,21.833,5038,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Lower working","disability","Yes",,,"2014-2024",10.466,8.795,12.489,1114,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Higher working","disability","No",,,"2014-2024",26.339,25.135,27.576,5084,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Higher working","disability","Yes",,,"2014-2024",16.052,13.401,18.942,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Intermediate","disability","No",,,"2014-2024",32.364,31.234,33.517,6538,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Intermediate","disability","Yes",,,"2014-2024",22.305,19.606,25.33,846,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional","disability","No",,,"2014-2024",40.853,39.586,42.139,5769,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Lower professional","disability","Yes",,,"2014-2024",28.474,25.161,31.937,707,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional","disability","No",,,"2014-2024",46.506,45.111,47.901,4976,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","First degree","seb","Higher professional","disability","Yes",,,"2014-2024",31.101,27.211,35.17,541,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower working","disability","No",,,"2014-2024",6.074,5.438,6.778,5038,"Percent",
"in23","Highest qualification","disability","K02000001","country","United Kingdom","edu","Higher degree","seb","Lower working","disability","Yes",,,"2014-2024",2.804,1.93,3.975,1114,"Percent",
