"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower working","sex","Men",,,"2014-2024",23.016,21.485,24.65,2779,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower working","sex","Women",,,"2014-2024",17.999,16.722,19.344,3373,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher working","sex","Men",,,"2014-2024",14.813,13.517,16.236,2698,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher working","sex","Women",,,"2014-2024",9.906,8.875,11.013,3093,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Intermediate","sex","Men",,,"2014-2024",11.873,10.836,13.011,3493,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Intermediate","sex","Women",,,"2014-2024",8.534,7.683,9.465,3891,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower professional","sex","Men",,,"2014-2024",6.095,5.274,7.02,3005,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Lower professional","sex","Women",,,"2014-2024",3.921,3.309,4.632,3471,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher professional","sex","Men",,,"2014-2024",3.712,3.039,4.534,2610,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","seb","Higher professional","sex","Women",,,"2014-2024",2.89,2.325,3.582,2907,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working","sex","Men",,,"2014-2024",18.773,17.358,20.297,2779,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower working","sex","Women",,,"2014-2024",19.488,18.162,20.864,3373,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working","sex","Men",,,"2014-2024",15.967,14.623,17.425,2698,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher working","sex","Women",,,"2014-2024",15.041,13.802,16.354,3093,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate","sex","Men",,,"2014-2024",12.684,11.606,13.842,3493,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Intermediate","sex","Women",,,"2014-2024",11.425,10.462,12.488,3891,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional","sex","Men",,,"2014-2024",9.524,8.504,10.636,3005,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Lower professional","sex","Women",,,"2014-2024",7.066,6.239,7.974,3471,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","sex","Men",,,"2014-2024",6.707,5.79,7.75,2610,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","seb","Higher professional","sex","Women",,,"2014-2024",4.11,3.416,4.895,2907,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","sex","Men",,,"2014-2024",30.124,28.424,31.869,2779,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower working","sex","Women",,,"2014-2024",28.967,27.445,30.534,3373,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working","sex","Men",,,"2014-2024",31.542,29.798,33.339,2698,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher working","sex","Women",,,"2014-2024",29.982,28.366,31.626,3093,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate","sex","Men",,,"2014-2024",27.608,26.127,29.119,3493,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Intermediate","sex","Women",,,"2014-2024",26.517,25.147,27.946,3891,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional","sex","Men",,,"2014-2024",24.263,22.744,25.841,3005,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Lower professional","sex","Women",,,"2014-2024",19,17.702,20.339,3471,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional","sex","Men",,,"2014-2024",18.705,17.229,20.258,2610,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","A level and equivalent","seb","Higher professional","sex","Women",,,"2014-2024",14.064,12.836,15.399,2907,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","sex","Men",,,"2014-2024",6.04,5.202,7.013,2779,"Percent",
"in23","Highest qualification","sex","K02000001","country","United Kingdom","edu","Further education below degree","seb","Lower working","sex","Women",,,"2014-2024",7.418,6.561,8.361,3373,"Percent",
