"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",14.412,12.058,17.18,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",14.354,12.054,17.092,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",14.825,12.466,17.606,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",14.045,11.618,16.83,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",13.05,10.737,15.905,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",10.561,8.372,13.296,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",10.385,8.071,13.118,,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",9.404,7.15,12.202,,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",9.072,6.787,11.79,,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",16.663,14.128,19.548,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",14.692,12.289,17.363,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",14.082,11.75,16.78,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",14.182,11.745,16.978,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",14.919,12.457,17.91,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",14.059,11.475,17.002,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",14.391,11.68,17.454,,"Average","3-year moving average","2020 to 2022"
