"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",13.469,,,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",12.365,,,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",12.295,,,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",11.439,,,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",10.51,,,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",9.315,,,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",7.881,,,,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",7.978,,,,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",7.014,,,,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",13.52,,,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",12.795,,,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",12.69,,,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",12.037,,,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",10.858,,,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",9.031,,,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",9.935,,,,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",11.936,,,,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",12.769,,,,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",27.152,,,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",27.554,,,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",28.733,,,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",29.826,,,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",27.791,,,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",27.407,,,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",25.465,,,,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",25.446,,,,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","A level and equivalent",,,"2014 to 2024",23.955,,,,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",6.797,,,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",6.772,,,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",6.768,,,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",7.393,,,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",8.041,,,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",7.734,,,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",7.514,,,,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",6.992,,,,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","highest_qualification","Further education below degree",,,"2014 to 2024",7.205,,,,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",29.266,,,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",30.368,,,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",28.806,,,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",28.194,,,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",30.321,,,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",33.666,,,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","highest_qualification","First degree",,,"2014 to 2024",34.265,,,,"Average","3-year moving average","2020 to 2022"
