"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",6.262,4.64,8.279,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",5.274,3.848,7.19,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",5.342,3.943,7.253,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",5.041,3.686,6.84,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",4.557,3.293,6.22,,"Average","3-year moving average","2018 to 2020"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",3.938,2.741,5.495,,"Average","3-year moving average","2019 to 2021"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",3.739,2.633,5.34,,"Average","3-year moving average","2020 to 2022"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",4.309,3.013,6.032,,"Average","3-year moving average","2021 to 2023"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower professional","highest_qualification","Lower level (below GCSE grade 1)",,,"2014 to 2024",5.064,3.643,6.87,,"Average","3-year moving average","2022 to 2024"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",8.977,7.021,11.279,,"Average","3-year moving average","2014 to 2016"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",9.097,7.207,11.449,,"Average","3-year moving average","2015 to 2017"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",8.946,7.089,11.228,,"Average","3-year moving average","2016 to 2018"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",8.291,6.487,10.401,,"Average","3-year moving average","2017 to 2019"
"in23","Highest qualification","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower professional","highest_qualification","O level, GCSE and equivalent",,,"2014 to 2024",7.784,6.144,9.862,,"Average","3-year moving average","2018 to 2020"
