"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2016,"Higher professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.8982990197479,496,10.2059055214405,11.6376661800682,0.0334760304170813,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2016,"Higher working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.18782113006135,621,8.65182903360072,9.75701863619346,0.0306546842586488,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2016,"Intermediate","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.50664373108675,702,8.96178915247388,10.0846241182613,0.0301002892876685,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2016,"Lower professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.3286635789915,585,9.69864737154919,10.9996051244149,0.0320971495614021,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2016,"Lower working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.0539584140044,493,8.5392151279259,9.59973038908928,0.0298513886475397,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2017,"Higher professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,11.2935395567016,518,10.5810892001958,12.0539609208117,0.033232570668108,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2017,"Higher working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.74759496097603,640,9.18607759285347,10.3434362014496,0.03025882725414,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2017,"Intermediate","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.96921754887089,669,9.38994855949992,10.5842218311373,0.0305294993211542,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2017,"Lower professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.611307184661,598,9.96297986933702,11.3018235150495,0.0321521278152127,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2017,"Lower working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.38868801763561,509,8.85303148115363,9.95675468681469,0.0299600057802447,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2018,"Higher professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,11.9862301313359,507,11.2092994515053,12.8170108562897,0.0341763846623171,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2018,"Higher working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.1799866728174,584,9.57714838649563,10.8207709097279,0.0311313058654342,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2018,"Intermediate","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.4976852448151,624,9.86987296360148,11.1654320076472,0.0314495250669471,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2018,"Lower professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,11.2799004794542,605,10.5751476228359,12.031619733765,0.0329019265405008,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2018,"Lower working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.85887560114268,475,9.27497080256794,10.4795400640933,0.0311358180407345,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2019,"Higher professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,11.7781921753532,534,10.974997248693,12.6401681728049,0.0360193879429407,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2019,"Higher working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.3558292359519,494,9.69616892337741,11.0603682765503,0.0335657695428181,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2019,"Intermediate","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,10.5724430779477,602,9.9054773184456,11.2843176601191,0.0332313886789994,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2019,"Lower professional","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,11.1072222027165,577,10.3694518625358,11.8974837528538,0.0350511482431513,"Pounds","Moving Average"
"IN36","Direct effect of social origins on hourly earnings","Country","K02000001","United Kingdom",2019,"Lower working","27","Men","Highest qualification","Lower level (below CSE grade 1)",NA,NA,9.78771989545947,475,9.17988003194806,10.435807485345,0.0326966076329329,"Pounds","Moving Average"
