"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower working","disability","No",,,,,"2014-2024",10.379,9.973,10.802,1221,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher working","disability","No",,,,,"2014-2024",10.768,10.343,11.209,1430,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Intermediate","disability","No",,,,,"2014-2024",11.085,10.654,11.534,1772,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower professional","disability","No",,,,,"2014-2024",11.777,11.302,12.271,1653,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher professional","disability","No",,,,,"2014-2024",12.507,11.987,13.049,1534,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower working","disability","Yes",,,,,"2014-2024",10.153,8.893,11.591,185,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher working","disability","Yes",,,,,"2014-2024",9.847,8.578,11.303,169,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Intermediate","disability","Yes",,,,,"2014-2024",10.541,9.208,12.066,204,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Lower professional","disability","Yes",,,,,"2014-2024",10.942,9.503,12.6,203,"Percent","Mean hourly earnings"
"in36","Direct effect of social origins on hourly earnings","disability","K02000001","country","United Kingdom","seb","Higher professional","disability","Yes",,,,,"2014-2024",11.507,9.988,13.256,195,"Percent","Mean hourly earnings"
