"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Bangladeshi",,,,,"2014-2024",8.163,7.196,9.26,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Bangladeshi",,,,,"2014-2024",9.746,8.578,11.073,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Chinese",,,,,"2014-2024",9.777,8.743,10.932,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Chinese",,,,,"2014-2024",11.672,10.424,13.071,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Indian",,,,,"2014-2024",10.174,9.554,10.833,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Indian",,,,,"2014-2024",12.146,11.391,12.951,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Pakistani",,,,,"2014-2024",9.414,8.622,10.279,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Pakistani",,,,,"2014-2024",11.24,10.28,12.289,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Black African",,,,,"2014-2024",10.291,9.564,11.072,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Black African",,,,,"2014-2024",12.286,11.394,13.248,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Black Caribbean",,,,,"2014-2024",10.13,9.142,11.225,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Black Caribbean",,,,,"2014-2024",12.094,10.893,13.428,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Mixed",,,,,"2014-2024",10.312,9.607,11.069,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Mixed",,,,,"2014-2024",12.312,11.449,13.239,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","White British",,,,,"2014-2024",10.451,10.04,10.879,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","White British",,,,,"2014-2024",12.477,11.96,13.017,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","White other",,,,,"2014-2024",10.41,9.963,10.877,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","White other",,,,,"2014-2024",12.429,11.867,13.017,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Lower working","ethnicity","Other",,,,,"2014-2024",9.825,9.18,10.516,,"Pounds",
"in36","Direct effect of social origins on hourly earnings","ethnicity","K02000001","country","United Kingdom","seb","Higher professional","ethnicity","Other",,,,,"2014-2024",11.73,10.944,12.573,,"Pounds",
