"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working",,,,,"2014 to 2024",12.804,12.01,13.599,164,"Average","3-year moving average","2014 to 2016"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working",,,,,"2014 to 2024",12.838,12.069,13.607,176,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working",,,,,"2014 to 2024",12.988,12.199,13.776,135,"Average","3-year moving average","2016 to 2018"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working",,,,,"2014 to 2024",13.17,12.362,13.978,164,"Average","3-year moving average","2017 to 2019"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working",,,,,"2014 to 2024",13.845,12.706,14.985,75,"Average","3-year moving average","2018 to 2020"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working",,,,,"2014 to 2024",14.488,13.262,15.715,121,"Average","3-year moving average","2019 to 2021"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working",,,,,"2014 to 2024",14.701,13.407,15.995,94,"Average","3-year moving average","2020 to 2022"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working",,,,,"2014 to 2024",14.309,13.272,15.346,62,"Average","3-year moving average","2021 to 2023"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working",,,,,"2014 to 2024",14.238,13.203,15.273,94,"Average","3-year moving average","2022 to 2024"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working",,,,,"2014 to 2024",13.985,12.916,15.053,237,"Average","3-year moving average","2014 to 2016"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working",,,,,"2014 to 2024",14.368,13.288,15.447,192,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working",,,,,"2014 to 2024",14.21,13.326,15.095,155,"Average","3-year moving average","2016 to 2018"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working",,,,,"2014 to 2024",14.81,13.787,15.833,147,"Average","3-year moving average","2017 to 2019"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working",,,,,"2014 to 2024",15.269,14.206,16.332,128,"Average","3-year moving average","2018 to 2020"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working",,,,,"2014 to 2024",15.468,14.167,16.77,128,"Average","3-year moving average","2019 to 2021"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working",,,,,"2014 to 2024",15.637,14.277,16.997,87,"Average","3-year moving average","2020 to 2022"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working",,,,,"2014 to 2024",15.343,13.829,16.857,51,"Average","3-year moving average","2021 to 2023"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working",,,,,"2014 to 2024",15.765,14.374,17.156,96,"Average","3-year moving average","2022 to 2024"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate",,,,,"2014 to 2024",14.544,13.743,15.344,231,"Average","3-year moving average","2014 to 2016"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate",,,,,"2014 to 2024",14.905,14.039,15.771,210,"Average","3-year moving average","2015 to 2017"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate",,,,,"2014 to 2024",15.157,14.239,16.075,183,"Average","3-year moving average","2016 to 2018"
