"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower working",,,,,"2014 to 2024",12.804,12.01,13.599,164,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher working",,,,,"2014 to 2024",13.985,12.916,15.053,237,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Intermediate",,,,,"2014 to 2024",14.544,13.743,15.344,231,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower professional",,,,,"2014 to 2024",16.998,15.755,18.242,204,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher professional",,,,,"2014 to 2024",18.48,17.253,19.707,166,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower working",,,,,"2014 to 2024",12.838,12.069,13.607,176,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher working",,,,,"2014 to 2024",14.368,13.288,15.447,192,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Intermediate",,,,,"2014 to 2024",14.905,14.039,15.771,210,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower professional",,,,,"2014 to 2024",17.174,16.025,18.324,199,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher professional",,,,,"2014 to 2024",18.262,17.141,19.383,185,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower working",,,,,"2014 to 2024",12.988,12.199,13.776,135,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher working",,,,,"2014 to 2024",14.21,13.326,15.095,155,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Intermediate",,,,,"2014 to 2024",15.157,14.239,16.075,183,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower professional",,,,,"2014 to 2024",17.327,16.287,18.366,202,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher professional",,,,,"2014 to 2024",18.88,17.671,20.09,156,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower working",,,,,"2014 to 2024",13.17,12.362,13.978,164,"Average","3-year moving average"
"in34","Earnings of young people","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher working",,,,,"2014 to 2024",14.81,13.787,15.833,147,"Average","3-year moving average"
