ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Disability,No,NA,NA,85.53684452,3762,84.41287427,86.66081476,0.005734542,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Disability,Yes,NA,NA,52.20269207,601,48.20906963,56.1963145,0.020375625,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Disability,No,NA,NA,90.10576038,4064,89.18775187,91.0237689,0.004683717,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Disability,Yes,NA,NA,65.13541508,490,60.91593565,69.3548945,0.021527956,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Disability,No,NA,NA,91.77060854,5197,91.0234455,92.51777158,0.003812056,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Disability,Yes,NA,NA,68.27611467,594,64.53336799,72.01886136,0.019095646,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Disability,No,NA,NA,92.82383583,4634,92.08072431,93.56694735,0.003791385,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Disability,Yes,NA,NA,72.94685489,542,69.20688078,76.68682899,0.019081501,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25 to 29,Total,Disability,No,NA,NA,92.13769747,3967,91.30013247,92.97526248,0.004273291,Percentage,NA
IN31,Economic activity of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25 to 29,Total,Disability,Yes,NA,NA,80.60823414,454,76.9713746,84.24509367,0.018555406,Percentage,NA
