"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","sex","Women",,,"2014 to 2024",66.703,61.792,71.217,430,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","sex","Women",,,"2014 to 2024",68.781,64.005,73.283,411,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","sex","Women",,,"2014 to 2024",69.534,64.714,74.194,381,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","sex","Women",,,"2014 to 2024",71.308,66.54,75.874,367,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","sex","Women",,,"2014 to 2024",73.97,69.055,78.437,305,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","sex","Women",,,"2014 to 2024",75.202,70.126,79.454,278,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","sex","Women",,,"2014 to 2024",76.296,71.317,80.809,225,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","sex","Women",,,"2014 to 2024",73.389,68.155,77.957,195,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","sex","Women",,,"2014 to 2024",74.274,69.285,78.934,167,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","sex","Women",,,"2014 to 2024",78.468,74.085,82.578,406,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","sex","Women",,,"2014 to 2024",81.053,76.802,84.839,392,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","sex","Women",,,"2014 to 2024",80.565,76.107,84.314,374,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","sex","Women",,,"2014 to 2024",80.253,75.678,84.215,341,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","sex","Women",,,"2014 to 2024",80.344,75.757,84.481,291,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","sex","Women",,,"2014 to 2024",82.091,77.379,86.146,252,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","sex","Women",,,"2014 to 2024",82.32,77.279,86.422,201,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","sex","Women",,,"2014 to 2024",82.59,77.417,87.061,160,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","sex","Women",,,"2014 to 2024",82.423,77.249,86.873,138,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Intermediate","sex","Women",,,"2014 to 2024",80.456,76.48,83.96,480,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Intermediate","sex","Women",,,"2014 to 2024",81.454,77.488,84.934,443,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Intermediate","sex","Women",,,"2014 to 2024",82.671,78.626,86.085,404,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Intermediate","sex","Women",,,"2014 to 2024",84.197,80.258,87.534,389,"Average","3-year moving average","2017 to 2019"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Intermediate","sex","Women",,,"2014 to 2024",85.529,81.709,88.81,342,"Average","3-year moving average","2018 to 2020"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Intermediate","sex","Women",,,"2014 to 2024",86.689,82.791,89.693,335,"Average","3-year moving average","2019 to 2021"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Intermediate","sex","Women",,,"2014 to 2024",86.409,82.58,89.562,291,"Average","3-year moving average","2020 to 2022"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Intermediate","sex","Women",,,"2014 to 2024",87.073,83.271,90.201,253,"Average","3-year moving average","2021 to 2023"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Intermediate","sex","Women",,,"2014 to 2024",86.63,82.855,89.784,223,"Average","3-year moving average","2022 to 2024"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower professional","sex","Women",,,"2014 to 2024",84.452,79.995,87.768,366,"Average","3-year moving average","2014 to 2016"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower professional","sex","Women",,,"2014 to 2024",85.962,81.971,89.236,368,"Average","3-year moving average","2015 to 2017"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower professional","sex","Women",,,"2014 to 2024",86.143,82.246,89.406,359,"Average","3-year moving average","2016 to 2018"
"in31","Economic activity","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower professional","sex","Women",,,"2014 to 2024",87.123,83.573,90.279,371,"Average","3-year moving average","2017 to 2019"
