ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,White British,14.06673159,NA,13.66690247,14.47825782,0.014709853,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Bangladeshi,11.83922944,NA,10.31955408,13.58269482,0.070080596,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Black African,14.04645879,NA,13.05763558,15.1101632,0.037238068,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Black Caribbean,13.94510595,NA,12.58773648,15.44884421,0.052240124,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Chinese,14.03162416,NA,12.3220009,15.97845011,0.066279772,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Indian,14.00149999,NA,13.11311344,14.95007291,0.033439874,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Mixed,13.88923204,NA,12.86878507,14.99059667,0.038927614,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Other,13.30878102,NA,12.44973092,14.22710687,0.034038422,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,Pakistani,12.70436171,NA,11.62295952,13.88637774,0.045382651,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,Degree,Ethnicity,White other,13.88024528,NA,13.33414282,14.44871347,0.020475969,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,White British,10.55537802,NA,10.29648673,10.82077878,0.012667924,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Bangladeshi,8.883907498,NA,7.74731053,10.187253,0.069834582,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Black African,10.54016574,NA,9.799332608,11.33700613,0.037177735,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Black Caribbean,10.46411271,NA,9.456428089,11.57917702,0.051654119,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Chinese,10.52903415,NA,9.240079488,11.9977929,0.066615853,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Indian,10.50642961,NA,9.83993764,11.21806532,0.033432901,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Mixed,10.42218611,NA,9.666353013,11.23711944,0.038405482,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Other,9.986627936,NA,9.345616662,10.67160586,0.033841782,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,Pakistani,9.533084461,NA,8.72428118,10.41686959,0.045227204,Pounds,NA
IN35,Income returns to education,Country,K02000001,United Kingdom,2014 to 2022,Lower working,27,Total,Highest qualification,No degree,Ethnicity,White other,10.41544263,NA,10.02620021,10.81979643,0.019429761,Pounds,NA
