"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","Higher degree","disability","No",,,,,"2014-2024",16.597,16.054,17.158,1108,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","First degree","disability","No",,,,,"2014-2024",15.191,14.77,15.623,2731,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","Further education below degree","disability","No",,,,,"2014-2024",13.31,12.773,13.87,545,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","A level and equivalent","disability","No",,,,,"2014-2024",12.147,11.816,12.488,1963,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","disability","No",,,,,"2014-2024",11.659,11.259,12.073,750,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","disability","No",,,,,"2014-2024",10.379,9.973,10.802,513,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","Higher degree","disability","Yes",,,,,"2014-2024",16.884,15.283,18.654,124,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","First degree","disability","Yes",,,,,"2014-2024",13.728,12.681,14.861,317,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","Further education below degree","disability","Yes",,,,,"2014-2024",11.563,10.387,12.872,80,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","A level and equivalent","disability","Yes",,,,,"2014-2024",11.548,10.7,12.464,271,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","O level, GCSE and equivalent","disability","Yes",,,,,"2014-2024",10.818,9.845,11.888,115,"Pounds","Mean hourly earnings"
"in35","Income returns to education","disability","K02000001","country","United Kingdom","edu","Lower level (below GCSE grade 1)","disability","Yes",,,,,"2014-2024",10.153,8.893,11.591,49,"Pounds","Mean hourly earnings"
