ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Total,Occupational level,Lower working,NA,NA,34.21766168,118,25.65724539,42.77807798,0.043675593,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Higher working,25 to 29,Total,Occupational level,Lower working,NA,NA,20.20705391,60,10.04657459,30.36753323,0.05183918,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Intermediate,25 to 29,Total,Occupational level,Lower working,NA,NA,20.5885899,102,12.74146182,28.43571797,0.040036368,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Lower professional,25 to 29,Total,Occupational level,Lower working,NA,NA,16.55112853,78,8.303429407,24.79882766,0.042080098,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Total,Occupational level,Lower working,NA,NA,12.3060335,60,3.993673388,20.61839362,0.042410001,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Total,Occupational level,Higher working,NA,NA,17.63581392,65,8.370367421,26.90126041,0.047272686,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Higher working,25 to 29,Total,Occupational level,Higher working,NA,NA,20.46723349,66,10.73333708,30.20112991,0.049662737,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Intermediate,25 to 29,Total,Occupational level,Higher working,NA,NA,14.85442575,85,7.293837591,22.4150139,0.038574429,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Lower professional,25 to 29,Total,Occupational level,Higher working,NA,NA,12.57102397,63,4.38451353,20.7575344,0.04176791,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Total,Occupational level,Higher working,NA,NA,7.943614126,40,-0.436734883,16.32396313,0.042756883,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Lower working,25 to 29,Total,Occupational level,Intermediate,NA,NA,20.16576713,75,11.08489853,29.24663574,0.046330962,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Higher working,25 to 29,Total,Occupational level,Intermediate,NA,NA,20.00953538,68,10.50043949,29.51863127,0.048515795,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Intermediate,25 to 29,Total,Occupational level,Intermediate,NA,NA,21.94655759,112,14.28130809,29.61180709,0.039108416,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Lower professional,25 to 29,Total,Occupational level,Intermediate,NA,NA,15.84059808,84,8.032351209,23.64884496,0.039837994,Percentage,NA
IN33,Occupational level of young people,Country,K02000001,United Kingdom,2022,Higher professional,25 to 29,Total,Occupational level,Intermediate,NA,NA,15.01084718,72,6.760462946,23.26123142,0.042093797,Percentage,NA
