ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Ocupational level,Lower working,Disability,No,26.13525961,1155,23.60131524,28.66920398,0.012928288,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Ocupational level,Lower working,Disability,Yes,48.1074721,545,43.91262146,52.30232275,0.021402299,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Ocupational level,Lower working,Disability,No,17.82869807,794,15.16634457,20.49105157,0.013583436,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Ocupational level,Lower working,Disability,Yes,35.46941004,266,29.71997657,41.21884352,0.029333844,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Ocupational level,Lower working,Disability,No,16.82820638,964,14.46650762,19.18990515,0.012049484,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Ocupational level,Lower working,Disability,Yes,30.9433551,278,25.50934913,36.37736107,0.02772452,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Ocupational level,Lower working,Disability,No,12.90835748,631,10.29219252,15.52452244,0.01334778,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Ocupational level,Lower working,Disability,Yes,25.8843888,202,19.84414886,31.92462875,0.030817551,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25 to 29,Total,Ocupational level,Lower working,Disability,No,10.9401342,487,8.167810527,13.71245788,0.014144509,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25 to 29,Total,Ocupational level,Lower working,Disability,Yes,22.28388781,132,15.18451275,29.38326288,0.036221301,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Ocupational level,Higher working,Disability,No,27.43590152,1244,24.95638846,29.91541459,0.012650577,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Ocupational level,Higher working,Disability,Yes,23.55273537,287,18.64346699,28.46200374,0.025047288,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Ocupational level,Higher working,Disability,No,26.6185925,1227,24.14561963,29.09156538,0.012617209,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Ocupational level,Higher working,Disability,Yes,25.30925587,202,19.31336848,31.30514327,0.030591262,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Ocupational level,Higher working,Disability,No,19.98187444,1182,17.70226927,22.26147961,0.011630639,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Ocupational level,Higher working,Disability,Yes,21.58002598,205,15.94859884,27.21145312,0.028731771,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Ocupational level,Higher working,Disability,No,15.52043982,811,13.02829384,18.01258581,0.012715031,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Ocupational level,Higher working,Disability,Yes,18.08917495,138,11.66678668,24.51156323,0.032767287,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25 to 29,Total,Ocupational level,Higher working,Disability,No,11.38861792,533,8.691668926,14.08556692,0.013759944,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher professional,25 to 29,Total,Ocupational level,Higher working,Disability,Yes,12.92620477,81,5.619983599,20.23242594,0.037276639,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Ocupational level,Intermediate,Disability,No,20.19280149,895,17.56275228,22.8228507,0.013418618,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower working,25 to 29,Total,Ocupational level,Intermediate,Disability,Yes,15.31903917,183,10.10061738,20.53746095,0.026624601,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Ocupational level,Intermediate,Disability,No,20.24793274,948,17.68985804,22.80600743,0.013051402,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Higher working,25 to 29,Total,Ocupational level,Intermediate,Disability,Yes,15.7345317,128,9.426370011,22.0426934,0.032184498,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Ocupational level,Intermediate,Disability,No,22.63754679,1333,20.39097245,24.88412113,0.011462114,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Intermediate,25 to 29,Total,Ocupational level,Intermediate,Disability,Yes,21.38486533,197,15.65915597,27.11057469,0.029212803,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Ocupational level,Intermediate,Disability,No,19.66316057,1028,17.23351151,22.09280963,0.012396169,Percentage,NA
IN33,Ocupational level of young people,Country,K02000001,United Kingdom,2014 to 2022,Lower professional,25 to 29,Total,Ocupational level,Intermediate,Disability,Yes,18.46188398,145,12.1466359,24.77713206,0.032220653,Percentage,NA
