Socio-economic background,Sex,Lower working (%),Higher working (%),Intermediate (%),Lower professional (%),Higher professional (%)
Higher professional,Men,13.10987937,12.09573102,15.55443156,30.67029993,28.56965812
,Women,11.51486979,10.96458129,19.57065047,36.9787892,20.97110925
Lower professional,Men,14.9681409,17.11275959,18.29857451,28.33399759,21.28652741
,Women,14.38387888,14.59884923,20.65777335,35.41418922,14.94530932
Intermediate,Men,18.55557467,21.36237939,21.34054609,22.87211685,15.869383
,Women,19.16982036,18.94060657,23.62128586,28.50265702,9.765630197
Higher working,Men,21.65726734,27.65976426,17.3892724,21.20675138,12.08694462
,Women,19.13441587,25.18321028,21.79792179,26.49161962,7.392832441
Lower working,Men,32.76697336,27.27320114,16.92181036,15.56012415,7.477890996
,Women,29.00155224,26.00308963,21.32115059,19.12550875,4.548698791
