"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","professional_binary","1","itl2_adolescent_geo","Bedfordshire and Hertfordshire","quintile","5",,,"2018-2024",5.348,1.213,9.484,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","professional_binary","1","itl2_adolescent_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile","5",,,"2018-2024",3.111,-0.448,6.669,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Cheshire","professional_binary","1","itl2_adolescent_geo","Cheshire","quintile","4",,,"2018-2024",1.515,-3.557,6.588,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","professional_binary","1","itl2_adolescent_geo","Cornwall and Isles of Scilly","quintile","4",,,"2018-2024",2.511,-3.461,8.482,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Cumbria","professional_binary","1","itl2_adolescent_geo","Cumbria","quintile","1",,,"2018-2024",-3.12,-8.967,2.727,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","professional_binary","1","itl2_adolescent_geo","Derbyshire and Nottinghamshire","quintile","3",,,"2018-2024",-0.579,-4.35,3.192,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Devon","professional_binary","1","itl2_adolescent_geo","Devon","quintile","3",,,"2018-2024",0.655,-4.08,5.39,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Dorset and Somerset","professional_binary","1","itl2_adolescent_geo","Dorset and Somerset","quintile","3",,,"2018-2024",0.223,-4.369,4.815,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","East Anglia","professional_binary","1","itl2_adolescent_geo","East Anglia","quintile","3",,,"2018-2024",-0.081,-3.664,3.502,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","East Wales","professional_binary","1","itl2_adolescent_geo","East Wales","quintile","2",,,"2018-2024",-1.748,-6.48,2.984,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","professional_binary","1","itl2_adolescent_geo","East Yorkshire and Northern Lincolnshire","quintile","3",,,"2018-2024",-0.277,-5.334,4.781,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Eastern Scotland","professional_binary","1","itl2_adolescent_geo","Eastern Scotland","quintile","3",,,"2018-2024",-1.205,-5.053,2.644,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Essex","professional_binary","1","itl2_adolescent_geo","Essex","quintile","4",,,"2018-2024",1.487,-2.489,5.464,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","professional_binary","1","itl2_adolescent_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile","2",,,"2018-2024",-2.031,-5.525,1.463,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Greater Manchester","professional_binary","1","itl2_adolescent_geo","Greater Manchester","quintile","2",,,"2018-2024",-2.541,-6.044,0.962,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Hampshire and Isle of Wight","professional_binary","1","itl2_adolescent_geo","Hampshire and Isle of Wight","quintile","5",,,"2018-2024",4.234,0.348,8.12,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Herefordshire, Worcestershire and Warwickshire","professional_binary","1","itl2_adolescent_geo","Herefordshire, Worcestershire and Warwickshire","quintile","4",,,"2018-2024",3.107,-1.249,7.464,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Highlands and Islands","professional_binary","1","itl2_adolescent_geo","Highlands and Islands","quintile","1",,,"2018-2024",-7.122,-13.089,-1.154,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Inner London - East","professional_binary","1","itl2_adolescent_geo","Inner London - East","quintile","5",,,"2018-2024",4.894,0.855,8.934,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Inner London - West","professional_binary","1","itl2_adolescent_geo","Inner London - West","quintile","5",,,"2018-2024",3.98,-1.202,9.163,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Kent","professional_binary","1","itl2_adolescent_geo","Kent","quintile","4",,,"2018-2024",2.9,-0.945,6.745,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Lancashire","professional_binary","1","itl2_adolescent_geo","Lancashire","quintile","3",,,"2018-2024",1.339,-2.894,5.572,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Leicestershire, Rutland and Northamptonshire","professional_binary","1","itl2_adolescent_geo","Leicestershire, Rutland and Northamptonshire","quintile","4",,,"2018-2024",2.02,-2.002,6.043,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Lincolnshire","professional_binary","1","itl2_adolescent_geo","Lincolnshire","quintile","1",,,"2018-2024",-3.952,-9.232,1.328,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Merseyside","professional_binary","1","itl2_adolescent_geo","Merseyside","quintile","1",,,"2018-2024",-5.541,-9.901,-1.181,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","North Eastern Scotland","professional_binary","1","itl2_adolescent_geo","North Eastern Scotland","quintile","3",,,"2018-2024",0.436,-5.442,6.314,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","North Yorkshire","professional_binary","1","itl2_adolescent_geo","North Yorkshire","quintile","5",,,"2018-2024",4.903,-0.251,10.057,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Northern Ireland","professional_binary","1","itl2_adolescent_geo","Northern Ireland","quintile","1",,,"2018-2024",-4.746,-8.462,-1.03,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Northumberland, and Tyne and Wear","professional_binary","1","itl2_adolescent_geo","Northumberland, and Tyne and Wear","quintile","1",,,"2018-2024",-2.664,-6.886,1.558,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Outer London - East and North East","professional_binary","1","itl2_adolescent_geo","Outer London - East and North East","quintile","5",,,"2018-2024",5.893,1.975,9.812,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Outer London - South","professional_binary","1","itl2_adolescent_geo","Outer London - South","quintile","2",,,"2018-2024",-1.684,-6.668,3.301,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Outer London - West and North West","professional_binary","1","itl2_adolescent_geo","Outer London - West and North West","quintile","5",,,"2018-2024",6.025,1.795,10.255,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Shropshire and Staffordshire","professional_binary","1","itl2_adolescent_geo","Shropshire and Staffordshire","quintile","4",,,"2018-2024",2.116,-2.036,6.268,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","South Yorkshire","professional_binary","1","itl2_adolescent_geo","South Yorkshire","quintile","1",,,"2018-2024",-3.369,-7.878,1.139,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Southern Scotland","professional_binary","1","itl2_adolescent_geo","Southern Scotland","quintile","1",,,"2018-2024",-5.537,-10.516,-0.557,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Surrey, East and West Sussex","professional_binary","1","itl2_adolescent_geo","Surrey, East and West Sussex","quintile","4",,,"2018-2024",2.049,-1.441,5.54,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","Tees Valley and Durham","professional_binary","1","itl2_adolescent_geo","Tees Valley and Durham","quintile","1",,,"2018-2024",-3.441,-8.183,1.302,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","West Central Scotland","professional_binary","1","itl2_adolescent_geo","West Central Scotland","quintile","2",,,"2018-2024",-2.555,-6.586,1.476,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","West Midlands","professional_binary","1","itl2_adolescent_geo","West Midlands","quintile","2",,,"2018-2024",-2.552,-5.761,0.657,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","West Wales and The Valleys","professional_binary","1","itl2_adolescent_geo","West Wales and The Valleys","quintile","2",,,"2018-2024",-1.439,-5.172,2.294,,"Percent","Random effect from a linear mixed-effects model"
"in33","Occupational level of young people","geography_caterpillar",,"ITL2","West Yorkshire","professional_binary","1","itl2_adolescent_geo","West Yorkshire","quintile","2",,,"2018-2024",-2.567,-6.302,1.169,,"Percent","Random effect from a linear mixed-effects model"
