"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working",,,,,"2024",30.13,25.436,35.428,341,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working",,,,,"2024",20.065,15.591,25.084,291,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate",,,,,"2024",17.525,14.297,21.308,479,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional",,,,,"2024",13.296,10.332,16.798,453,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional",,,,,"2024",15.177,11.69,19.24,371,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher working","seb","Lower working",,,,,"2024",17.231,13.526,21.833,341,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher working","seb","Higher working",,,,,"2024",20.632,16.212,25.819,291,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher working","seb","Intermediate",,,,,"2024",15.452,12.394,19.071,479,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher working","seb","Lower professional",,,,,"2024",12.122,9.35,15.592,453,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher working","seb","Higher professional",,,,,"2024",7.027,4.716,10.226,371,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower working",,,,,"2024",20.907,16.714,25.6,341,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher working",,,,,"2024",20.609,16.212,25.819,291,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Intermediate","seb","Intermediate",,,,,"2024",22.568,18.934,26.609,479,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower professional",,,,,"2024",18.395,14.93,22.264,453,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher professional",,,,,"2024",15.852,12.413,20.117,371,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower working",,,,,"2024",24.106,19.68,29.01,341,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher working",,,,,"2024",26.311,21.563,31.992,291,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower professional","seb","Intermediate",,,,,"2024",25.2,21.479,29.447,479,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower professional",,,,,"2024",35.291,30.953,39.941,453,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher professional",,,,,"2024",34.807,29.974,39.888,371,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher professional","seb","Lower working",,,,,"2024",7.626,5.135,11.106,341,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher professional","seb","Higher working",,,,,"2024",12.383,8.924,16.843,291,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher professional","seb","Intermediate",,,,,"2024",19.255,15.833,23.085,479,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher professional","seb","Lower professional",,,,,"2024",20.896,17.372,25.073,453,"Percent",
"in33","Occupational level of young people","seb","K02000001","country","United Kingdom","sec","Higher professional","seb","Higher professional",,,,,"2024",27.136,22.819,32.109,371,"Percent",
