"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working","disability","No",,,"2014-2024",26.187,24.984,27.429,5048,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower working","disability","Yes",,,"2014-2024",51.703,48.725,54.662,1118,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working","disability","No",,,"2014-2024",17.475,16.438,18.543,5090,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher working","disability","Yes",,,"2014-2024",39.779,36.134,43.47,707,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate","disability","No",,,"2014-2024",16.319,15.433,17.238,6546,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Intermediate","disability","Yes",,,"2014-2024",34.103,30.911,37.396,848,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional","disability","No",,,"2014-2024",12.916,12.063,13.81,5770,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Lower professional","disability","Yes",,,"2014-2024",28.323,25.025,31.792,707,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional","disability","No",,,"2014-2024",10.891,10.041,11.792,4979,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower working","seb","Higher professional","disability","Yes",,,"2014-2024",28.93,25.266,33.077,541,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower working","disability","No",,,"2014-2024",26.259,25.062,27.51,5048,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower working","disability","Yes",,,"2014-2024",21.97,19.631,24.572,1118,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher working","disability","No",,,"2014-2024",25.216,24.042,26.447,5090,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher working","disability","Yes",,,"2014-2024",27.382,24.212,30.917,707,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Intermediate","disability","No",,,"2014-2024",19.05,18.109,20.027,6546,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Intermediate","disability","Yes",,,"2014-2024",21.093,18.439,24.044,848,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower professional","disability","No",,,"2014-2024",14.375,13.478,15.305,5770,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Lower professional","disability","Yes",,,"2014-2024",19.562,16.699,22.676,707,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher professional","disability","No",,,"2014-2024",10.373,9.538,11.251,4979,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Higher working","seb","Higher professional","disability","Yes",,,"2014-2024",13.543,10.787,16.731,541,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower working","disability","No",,,"2014-2024",20.086,18.995,21.225,5048,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower working","disability","Yes",,,"2014-2024",14.594,12.59,16.817,1118,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher working","disability","No",,,"2014-2024",20.214,19.126,21.352,5090,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher working","disability","Yes",,,"2014-2024",12.35,10.021,15.009,707,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Intermediate","disability","No",,,"2014-2024",22.243,21.244,23.274,6546,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Intermediate","disability","Yes",,,"2014-2024",21.324,18.663,24.29,848,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower professional","disability","No",,,"2014-2024",19.266,18.266,20.319,5770,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Lower professional","disability","Yes",,,"2014-2024",18.396,15.639,21.486,707,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher professional","disability","No",,,"2014-2024",17.168,16.14,18.255,4979,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Intermediate","seb","Higher professional","disability","Yes",,,"2014-2024",16.934,13.99,20.5,541,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower working","disability","No",,,"2014-2024",20.116,19.015,21.245,5048,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Lower working","disability","Yes",,,"2014-2024",9.516,7.859,11.388,1118,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher working","disability","No",,,"2014-2024",25.57,24.39,26.806,5090,"Percent",
"in33","Occupational level of young people","disability","K02000001","country","United Kingdom","sec","Lower professional","seb","Higher working","disability","Yes",,,"2014-2024",15.44,12.878,18.341,707,"Percent",
