"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","White British",,,"2014-2024",24.841,23.462,26.273,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Bangladeshi",,,"2014-2024",18.289,13.586,24.164,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Black African",,,"2014-2024",22.896,18.801,27.579,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Black Caribbean",,,"2014-2024",23.36,17.996,29.742,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Chinese",,,"2014-2024",26.5,19.954,34.273,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Indian",,,"2014-2024",31.264,27.558,35.226,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Mixed",,,"2014-2024",27.075,23.168,31.371,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Other",,,"2014-2024",21.435,18.308,24.934,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","Pakistani",,,"2014-2024",17.944,14.933,21.409,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Lower working","ethnicity","White other",,,"2014-2024",21.235,19.201,23.422,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","White British",,,"2014-2024",59.861,58.185,61.515,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Bangladeshi",,,"2014-2024",50.248,41.497,58.984,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Black African",,,"2014-2024",57.263,51.145,63.167,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Black Caribbean",,,"2014-2024",57.901,49.774,65.621,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Chinese",,,"2014-2024",61.932,53.019,70.107,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Indian",,,"2014-2024",67.239,63.3,70.948,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Mixed",,,"2014-2024",62.621,57.698,67.296,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Other",,,"2014-2024",55.18,50.45,59.817,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","Pakistani",,,"2014-2024",49.666,44.242,55.098,,"Percent",
"in33","Occupational level of young people","ethnicity","K02000001","country","United Kingdom","professional_binary","1","seb","Higher professional","ethnicity","White other",,,"2014-2024",54.885,51.826,57.906,,"Percent",
