"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Lower working",,,"2014 to 2024",20.755,17.945,23.825,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Lower working",,,"2014 to 2024",20.861,18.133,23.94,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Lower working",,,"2014 to 2024",20.588,17.784,23.599,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Lower working",,,"2014 to 2024",20.091,17.306,23.296,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Lower working",,,"2014 to 2024",19.363,16.476,22.487,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Lower working",,,"2014 to 2024",19.868,16.957,23.285,469,"Average","3-year moving average","2019 to 2021","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Higher working","profession","Lower working",,,"2014 to 2024",20.387,17.228,23.825,382,"Average","3-year moving average","2020 to 2022","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Higher working","profession","Lower working",,,"2014 to 2024",20.602,17.335,24.236,311,"Average","3-year moving average","2021 to 2023","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Higher working","profession","Lower working",,,"2014 to 2024",19.77,16.601,23.466,267,"Average","3-year moving average","2022 to 2024","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Higher working","profession","Higher working",,,"2014 to 2024",29.263,26.082,32.66,750,"Average","3-year moving average","2014 to 2016","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Higher working","profession","Higher working",,,"2014 to 2024",28.495,25.425,31.858,732,"Average","3-year moving average","2015 to 2017","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Higher working","profession","Higher working",,,"2014 to 2024",28.358,25.172,31.635,697,"Average","3-year moving average","2016 to 2018","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Higher working","profession","Higher working",,,"2014 to 2024",27.919,24.697,31.375,636,"Average","3-year moving average","2017 to 2019","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Higher working","profession","Higher working",,,"2014 to 2024",25.86,22.746,29.398,542,"Average","3-year moving average","2018 to 2020","Higher working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Higher working","profession","Higher working",,,"2014 to 2024",23.766,20.624,27.358,469,"Average","3-year moving average","2019 to 2021","Higher working background"
