"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","average_window","background_label"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Lower working",,,"2014 to 2024",33,29.747,36.413,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Lower working",,,"2014 to 2024",30.087,26.882,33.363,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Lower working",,,"2014 to 2024",29.309,26.187,32.786,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Lower working",,,"2014 to 2024",29.265,26.101,32.75,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Lower working",,,"2014 to 2024",28.234,24.987,31.823,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Lower working",,,"2014 to 2024",28.664,25.387,32.289,505,"Average","3-year moving average","2019 to 2021","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Lower working",,,"2014 to 2024",30.027,26.503,33.741,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Lower working",,,"2014 to 2024",33.749,30.143,37.536,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Lower working",,,"2014 to 2024",33.235,29.626,37.037,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Higher working",,,"2014 to 2024",28.393,25.35,31.752,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Higher working",,,"2014 to 2024",28.984,25.913,32.332,756,"Average","3-year moving average","2015 to 2017","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2018,"seb","Lower working","profession","Higher working",,,"2014 to 2024",28.909,25.807,32.38,698,"Average","3-year moving average","2016 to 2018","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2019,"seb","Lower working","profession","Higher working",,,"2014 to 2024",28.272,25.071,31.649,666,"Average","3-year moving average","2017 to 2019","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2020,"seb","Lower working","profession","Higher working",,,"2014 to 2024",27.407,24.158,30.93,546,"Average","3-year moving average","2018 to 2020","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2021,"seb","Lower working","profession","Higher working",,,"2014 to 2024",25.443,22.321,28.978,505,"Average","3-year moving average","2019 to 2021","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2022,"seb","Lower working","profession","Higher working",,,"2014 to 2024",22.605,19.508,26.139,414,"Average","3-year moving average","2020 to 2022","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2023,"seb","Lower working","profession","Higher working",,,"2014 to 2024",20.618,17.555,23.902,365,"Average","3-year moving average","2021 to 2023","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2024,"seb","Lower working","profession","Higher working",,,"2014 to 2024",18.809,15.888,22.069,310,"Average","3-year moving average","2022 to 2024","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2016,"seb","Lower working","profession","Intermediate",,,"2014 to 2024",18.603,15.968,21.511,786,"Average","3-year moving average","2014 to 2016","Lower working background"
"in33","Occupational level of young people","trend_moving_average","K02000001","country","United Kingdom","year",2017,"seb","Lower working","profession","Intermediate",,,"2014 to 2024",19.929,17.285,22.959,756,"Average","3-year moving average","2015 to 2017","Lower working background"
