"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2022","Lower working","25 to 29","Total",NA,NA,NA,NA,6.28210937055111,295,3.51319795067372,9.0510207904285,0.0141270990810071,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2022","Higher working","25 to 29","Total",NA,NA,NA,NA,3.94877572636082,273,1.63853394246114,6.2590175102605,0.0117869478770392,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2022","Intermediate","25 to 29","Total",NA,NA,NA,NA,3.01758423172165,442,1.42272948074435,4.61243898269896,0.00813701403559851,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2022","Lower professional","25 to 29","Total",NA,NA,NA,NA,2.17112304644934,438,0.806242107291481,3.53600398560721,0.00696367826100951,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2022","Higher professional","25 to 29","Total",NA,NA,NA,NA,3.05292521464608,403,1.37323579752576,4.7326146317664,0.0085698439648996,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2022","Total","25 to 29","Total",NA,NA,NA,NA,3.47543754412932,1851,2.64103325665779,4.30984183160084,0.00425716473199758,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2014 to 2022","Lower working","25 to 29","Men",NA,NA,NA,NA,7.53764803940749,164,6.03069553572551,9.04460054308948,0.00768853318205094,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2014 to 2022","Lower working","25 to 29","Women",NA,NA,NA,NA,7.79165102293063,166,6.2616242222591,9.32167782360215,0.00780625918709961,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2014 to 2022","Higher working","25 to 29","Men",NA,NA,NA,NA,4.82460534473414,111,3.60141960644277,6.04779108302551,0.00624074356271107,"Percentage",NA
"IN32","Unemployment of young people","Country","K02000001","United Kingdom","2014 to 2022","Higher working","25 to 29","Women",NA,NA,NA,NA,4.59929981542412,108,3.40360372187723,5.79499590897102,0.00610049027319843,"Percentage",NA
