"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",9.062,6.92,11.644,606,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",5.726,4.067,7.788,639,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",6.012,4.512,7.955,772,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",4.075,2.764,5.975,617,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2016","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",3.834,2.465,5.938,502,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",7.766,5.8,10.173,590,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.773,3.409,6.811,632,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",5.367,3.996,7.296,735,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",4.24,2.92,6.134,615,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2017","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",3.617,2.367,5.588,522,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",7.022,5.201,9.514,544,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.789,3.341,6.751,603,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",4.797,3.474,6.67,677,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",3.211,2.121,4.918,611,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2018","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",3.668,2.32,5.48,505,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",6.416,4.672,8.842,520,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.041,2.667,5.951,547,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",3.957,2.743,5.624,673,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",2.914,1.817,4.398,618,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2019","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",3.279,2.074,5.01,525,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",7.197,5.318,9.872,427,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.287,2.911,6.381,465,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",4.307,2.983,6.038,575,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",3.498,2.355,5.103,569,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2020","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",4.119,2.845,6.06,482,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",6.797,4.905,9.355,401,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.087,2.69,6.215,407,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",4.195,2.909,5.89,577,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",4.475,3.135,6.205,554,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2021","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",3.906,2.613,5.653,500,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",7.413,5.403,10.192,335,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.285,2.723,6.412,336,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",4.229,2.93,6.003,491,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",4.134,2.912,5.898,497,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2022","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",4.084,2.751,5.861,452,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower working","unemployment","unemployment",,,"2014 to 2024",5.836,4.078,8.402,292,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher working","unemployment","unemployment",,,"2014 to 2024",4.201,2.75,6.61,276,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Intermediate","unemployment","unemployment",,,"2014 to 2024",2.867,1.863,4.507,437,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Lower professional","unemployment","unemployment",,,"2014 to 2024",3.6,2.359,5.273,412,"Average","3-year moving average"
"in32","Unemployment","trend_moving_average","K02000001","country","United Kingdom","year","2023","seb","Higher professional","unemployment","unemployment",,,"2014 to 2024",3.005,1.916,4.739,386,"Average","3-year moving average"
