Socio-economic background,Sex,Lower working (%),Higher working (%),Intermediate (%),Lower professional (%),Higher professional (%)
Higher professional,Men,9.4,6.7,14.6,29.1,40.2
,Women,12.1,8,18.9,34.3,26.6
,Total,10.7,7.4,16.8,31.7,33.5
Lower professional,Men,13.6,9.3,16.6,31,29.5
,Women,14.4,9.1,21.1,34.5,20.9
,Total,14,9.2,18.8,32.8,25.2
Intermediate,Men,16.9,11.6,21.4,24.7,25.3
,Women,20.7,12.8,23.5,28.9,14.1
,Total,18.8,12.2,22.5,26.8,19.6
Higher working,Men,22.9,17.3,19.2,22.7,17.9
,Women,22.8,15.2,24.3,27.9,9.9
,Total,22.8,16.2,21.8,25.4,13.8
Lower working,Men,30.7,17.4,17.9,19.7,14.3
,Women,29.7,17.3,22.6,22.6,7.8
,Total,30.2,17.4,20.3,21.2,10.9
All backgrounds,Total,19.4,12.5,20.2,27.5,20.5
