region_url,region_fullname,childhood_conditions_group_name,childhood_conditions_group_id,innovation_and_growth_group_name,innovation_and_growth_group_id,labour_market_opportunities_group_name,labour_market_opportunities_group_id,promising_prospects_group_name,promising_prospects_group_id
aberdeen_city,Aberdeen city,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
aberdeenshire,Aberdeenshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
angus,Angus,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
argyll_and_bute_islands,Argyll and Bute Islands,Middle Group,3,Least Favourable,1,Unfavourable,2,Middle Group,3
barking_and_dagenham,Barking and Dagenham,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
barnet,Barnet,Favourable,4,Favourable,4,Middle Group,3,Most Favourable,5
barnsley,Barnsley,Unfavourable,2,Unfavourable,2,Middle Group,3,Least Favourable,1
bath_and_north_east_somerset,Bath and North East Somerset,Favourable,4,Middle Group,3,Favourable,4,Middle Group,3
bedford,Bedford,Middle Group,3,Middle Group,3,Middle Group,3,Favourable,4
bexley,Bexley,Middle Group,3,Middle Group,3,Middle Group,3,Favourable,4
birmingham,Birmingham,Unfavourable,2,Middle Group,3,Least Favourable,1,Middle Group,3
blackburn_with_darwen,Blackburn with Darwen,Least Favourable,1,Middle Group,3,Middle Group,3,Middle Group,3
blackpool,Blackpool,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
blaenau_gwent,Blaenau Gwent,Unfavourable,2,Least Favourable,1,Middle Group,3,Middle Group,3
bolton,Bolton,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
"bournemouth,_christchurch_and_poole","Bournemouth, Christchurch and Poole",Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
bracknell_forest,Bracknell Forest,Favourable,4,Favourable,4,Favourable,4,Middle Group,3
bradford,Bradford,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
brent,Brent,Middle Group,3,Middle Group,3,Middle Group,3,Most Favourable,5
bridgend,Bridgend,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
brighton_and_hove,Brighton and Hove,Most Favourable,5,Favourable,4,Middle Group,3,Favourable,4
bristol,Bristol,Middle Group,3,Favourable,4,Most Favourable,5,Middle Group,3
bromley,Bromley,Favourable,4,Middle Group,3,Favourable,4,Middle Group,3
buckinghamshire,Buckinghamshire,Favourable,4,Middle Group,3,Favourable,4,Favourable,4
bury,Bury,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
caerphilly,Caerphilly,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
calderdale,Calderdale,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
cambridgeshire_county_council,Cambridgeshire county council,Middle Group,3,Favourable,4,Middle Group,3,Middle Group,3
camden_and_city_of_london,Camden and City of London,Favourable,4,Most Favourable,5,Favourable,4,Most Favourable,5
cardiff,Cardiff,Middle Group,3,Favourable,4,Middle Group,3,Middle Group,3
carmarthenshire_county_council,Carmarthenshire county council,Middle Group,3,Unfavourable,2,Unfavourable,2,Middle Group,3
central_bedfordshire,Central Bedfordshire,Middle Group,3,Middle Group,3,Middle Group,3,Favourable,4
ceredigion_county_council,Ceredigion county council,Middle Group,3,Unfavourable,2,Middle Group,3,Middle Group,3
cheshire_east,Cheshire East,Middle Group,3,Favourable,4,Middle Group,3,Favourable,4
cheshire_west_and_chester,Cheshire West and Chester,Favourable,4,Favourable,4,Middle Group,3,Middle Group,3
edinburgh_city,Edinburgh city,Favourable,4,Favourable,4,Favourable,4,Middle Group,3
clackmannanshire,Clackmannanshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
conwy,Conwy,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
cornwall_and_isles_of_scilly,Cornwall and Isles of Scilly,Middle Group,3,Least Favourable,1,Middle Group,3,Least Favourable,1
coventry,Coventry,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
croydon,Croydon,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
cumbria_county_council,Cumbria county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
darlington,Darlington,Middle Group,3,Middle Group,3,Unfavourable,2,Middle Group,3
denbighshire_county_council,Denbighshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
derby,Derby,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
derbyshire_county_council,Derbyshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
devon_county_council,Devon county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
doncaster,Doncaster,Unfavourable,2,Middle Group,3,Middle Group,3,Middle Group,3
dorset,Dorset,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
dudley,Dudley,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
dumfries_and_galloway,Dumfries and Galloway,Middle Group,3,Least Favourable,1,Unfavourable,2,Least Favourable,1
dundee_city,Dundee city,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
durham_county_council,Durham county council,Middle Group,3,Unfavourable,2,Unfavourable,2,Least Favourable,1
ealing,Ealing,Middle Group,3,Favourable,4,Middle Group,3,Most Favourable,5
east_ayrshire,East Ayrshire,Middle Group,3,Unfavourable,2,Middle Group,3,Unfavourable,2
east_dunbartonshire,East Dunbartonshire,Most Favourable,5,Middle Group,3,Middle Group,3,Middle Group,3
east_lothian,East Lothian,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
east_renfrewshire,East Renfrewshire,Most Favourable,5,Middle Group,3,Middle Group,3,Middle Group,3
east_riding_of_yorkshire,East Riding of Yorkshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
east_sussex_county_council,East Sussex county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
enfield,Enfield,Middle Group,3,Middle Group,3,Middle Group,3,Favourable,4
essex_county_council,Essex county council,Middle Group,3,Middle Group,3,Favourable,4,Middle Group,3
falkirk,Falkirk,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
fife,Fife,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
flintshire_county_council,Flintshire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
gateshead,Gateshead,Middle Group,3,Middle Group,3,Middle Group,3,Least Favourable,1
glasgow,Glasgow,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
gloucestershire_county_council,Gloucestershire county council,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
greenwich,Greenwich,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
gwynedd,Gwynedd,Middle Group,3,Unfavourable,2,Unfavourable,2,Middle Group,3
hackney,Hackney,Middle Group,3,Favourable,4,Most Favourable,5,Favourable,4
halton,Halton,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
hammersmith_and_fulham,Hammersmith and Fulham,Favourable,4,Most Favourable,5,Most Favourable,5,Favourable,4
hampshire_county_council,Hampshire county council,Favourable,4,Middle Group,3,Middle Group,3,Middle Group,3
haringey,Haringey,Middle Group,3,Middle Group,3,Middle Group,3,Favourable,4
harrow,Harrow,Middle Group,3,Middle Group,3,Middle Group,3,Most Favourable,5
hartlepool,Hartlepool,Unfavourable,2,Middle Group,3,Unfavourable,2,Unfavourable,2
havering,Havering,Middle Group,3,Middle Group,3,Most Favourable,5,Middle Group,3
herefordshire,Herefordshire,Middle Group,3,Middle Group,3,Middle Group,3,Middle Group,3
hertfordshire_county_council,Hertfordshire county council,Favourable,4,Favourable,4,Favourable,4,Favourable,4
highland,Highland,Middle Group,3,Least Favourable,1,Middle Group,3,Middle Group,3
hillingdon,Hillingdon,Middle Group,3,Middle Group,3,Middle Group,3,Most Favourable,5
hounslow,Hounslow,Middle Group,3,Favourable,4,Middle Group,3,Most Favourable,5
