"region_fullname","childhood_conditions_group_id_2000_to_2005","childhood_conditions_group_id_2006_to_2011","childhood_conditions_group_id_2012_to_2017","childhood_conditions_group_id_2018_to_2024","childhood_conditions_group_name_2000_to_2005","childhood_conditions_group_name_2006_to_2011","childhood_conditions_group_name_2012_to_2017","childhood_conditions_group_name_2018_to_2024","labour_market_opportunities_group_id_2000_to_2005","labour_market_opportunities_group_id_2006_to_2011","labour_market_opportunities_group_id_2012_to_2017","labour_market_opportunities_group_id_2018_to_2024","labour_market_opportunities_group_name_2000_to_2005","labour_market_opportunities_group_name_2006_to_2011","labour_market_opportunities_group_name_2012_to_2017","labour_market_opportunities_group_name_2018_to_2024","innovation_and_growth_group_id_2000_to_2005","innovation_and_growth_group_id_2006_to_2011","innovation_and_growth_group_id_2012_to_2017","innovation_and_growth_group_id_2018_to_2024","innovation_and_growth_group_name_2000_to_2005","innovation_and_growth_group_name_2006_to_2011","innovation_and_growth_group_name_2012_to_2017","innovation_and_growth_group_name_2018_to_2024","promising_prospects_group_id_2018_to_2020","promising_prospects_group_id_2021_to_2024","promising_prospects_group_name_2018_to_2020","promising_prospects_group_name_2021_to_2024","region_url"
"Aberdeen City","5","4","5","4","Upper Middling","Middling","Upper Middling","Middling","5","4","5","4","Upper Middling","Middling","Upper Middling","Middling","6","6","6","6","Favourable","Favourable","Favourable","Favourable","4","5","Middling","Upper Middling","aberdeen_city"
"Aberdeenshire","5","4","4","6","Upper Middling","Middling","Middling","Favourable","3","4","4","3","Lower Middling","Middling","Middling","Lower Middling","4","4","4","4","Middling","Middling","Middling","Middling","4","4","Middling","Middling","aberdeenshire"
"Angus","4","4","4","4","Middling","Middling","Middling","Middling","3","2","4","3","Lower Middling","Unfavourable","Middling","Lower Middling","3","4","3","4","Lower Middling","Middling","Lower Middling","Middling","3","3","Lower Middling","Lower Middling","angus"
"Argyll and Bute Islands","4","4","4","3","Middling","Middling","Middling","Lower Middling","3","4","2","2","Lower Middling","Middling","Unfavourable","Unfavourable","3","4","4","3","Lower Middling","Middling","Middling","Lower Middling","3","5","Lower Middling","Upper Middling","argyll_and_bute_islands"
"Barking and Dagenham","2","2","2","3","Unfavourable","Unfavourable","Unfavourable","Lower Middling","4","4","4","4","Middling","Middling","Middling","Middling","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","5","4","Upper Middling","Middling","barking_and_dagenham"
"Barnet","7","7","7","6","Most Favourable","Most Favourable","Most Favourable","Favourable","6","7","6","4","Favourable","Most Favourable","Favourable","Middling","6","6","6","6","Favourable","Favourable","Favourable","Favourable","7","7","Most Favourable","Most Favourable","barnet"
"Barnsley","2","2","2","2","Unfavourable","Unfavourable","Unfavourable","Unfavourable","4","4","4","4","Middling","Middling","Middling","Middling","2","2","2","2","Unfavourable","Unfavourable","Unfavourable","Unfavourable","2","1","Unfavourable","Least Favourable","barnsley"
"Bath and North East Somerset","7","6","6","6","Most Favourable","Favourable","Favourable","Favourable","4","3","4","4","Middling","Lower Middling","Middling","Middling","6","5","5","5","Favourable","Upper Middling","Upper Middling","Upper Middling","5","4","Upper Middling","Middling","bath_and_north_east_somerset"
"Bedford","5","5","6","4","Upper Middling","Upper Middling","Favourable","Middling","4","4","4","5","Middling","Middling","Middling","Upper Middling","5","4","4","4","Upper Middling","Middling","Middling","Middling","7","6","Most Favourable","Favourable","bedford"
"Bexley","4","4","4","5","Middling","Middling","Middling","Upper Middling","5","5","4","5","Upper Middling","Upper Middling","Middling","Upper Middling","4","4","4","4","Middling","Middling","Middling","Middling","6","6","Favourable","Favourable","bexley"
"Birmingham","3","2","2","3","Lower Middling","Unfavourable","Unfavourable","Lower Middling","4","3","3","3","Middling","Lower Middling","Lower Middling","Lower Middling","4","4","4","4","Middling","Middling","Middling","Middling","3","4","Lower Middling","Middling","birmingham"
"Blackburn with Darwen","2","2","2","1","Unfavourable","Unfavourable","Unfavourable","Least Favourable","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","3","3","3","2","Lower Middling","Lower Middling","Lower Middling","Unfavourable","3","4","Lower Middling","Middling","blackburn_with_darwen"
"Blackpool","3","2","1","2","Lower Middling","Unfavourable","Least Favourable","Unfavourable","3","3","4","4","Lower Middling","Lower Middling","Middling","Middling","3","3","3","3","Lower Middling","Lower Middling","Lower Middling","Lower Middling","4","4","Middling","Middling","blackpool"
"Blaenau Gwent","1","1","1","2","Least Favourable","Least Favourable","Least Favourable","Unfavourable","2","2","2","3","Unfavourable","Unfavourable","Unfavourable","Lower Middling","2","2","1","2","Unfavourable","Unfavourable","Least Favourable","Unfavourable","3","3","Lower Middling","Lower Middling","blaenau_gwent"
