Region,Index of 'labour market opportunities for young people' ('Z-scores'),Group
Aberdeen city,0.147281927,Middle Group
Aberdeenshire,-0.576791067,Middle Group
Angus,-0.951929528,Middle Group
Argyll and Bute Islands,-1.115419953,Unfavourable
Barking and Dagenham,-0.632140385,Middle Group
Barnet,-0.440427397,Middle Group
Barnsley,-0.529295083,Middle Group
Bath and North East Somerset,1.23975596,Favourable
Bedford,0.944797657,Middle Group
Bexley,0.228211765,Middle Group
Birmingham,-1.548699264,Least Favourable
Blackburn with Darwen,-0.927896697,Middle Group
Blackpool,-0.383058647,Middle Group
Blaenau Gwent,-0.884765832,Middle Group
Bolton,-0.469628924,Middle Group
"Bournemouth, Christchurch and Poole",-0.395420854,Middle Group
Bracknell Forest,1.790906964,Favourable
Bradford,-0.954229892,Middle Group
Brent,-0.902547572,Middle Group
Bridgend,-0.772212096,Middle Group
Brighton and Hove,0.181466545,Middle Group
Bristol,2.066111193,Most Favourable
Bromley,1.307860674,Favourable
Buckinghamshire,1.483198804,Favourable
Bury,-0.184702245,Middle Group
Caerphilly,-0.763658736,Middle Group
Calderdale,-0.343454865,Middle Group
Cambridgeshire county council,0.789418277,Middle Group
Camden and City of London,1.886878642,Favourable
Cardiff,0.350187271,Middle Group
Carmarthenshire county council,-1.210745335,Unfavourable
Central Bedfordshire,0.634963414,Middle Group
Ceredigion county council,-0.990714934,Middle Group
Cheshire East,0.257980029,Middle Group
Cheshire West and Chester,0.644240443,Middle Group
Edinburgh city,1.222411082,Favourable
Clackmannanshire,-0.34376786,Middle Group
Conwy,-0.559493999,Middle Group
Cornwall and Isles of Scilly,-0.486071947,Middle Group
Coventry,-0.790451855,Middle Group
Croydon,0.574359475,Middle Group
Cumbria county council,-0.309885346,Middle Group
Darlington,-1.040382296,Unfavourable
Denbighshire county council,-0.699331319,Middle Group
Derby,-0.196427389,Middle Group
Derbyshire county council,0.544186333,Middle Group
Devon county council,0.135399807,Middle Group
Doncaster,-0.997228015,Middle Group
Dorset,0.087765852,Middle Group
Dudley,-0.571050699,Middle Group
Dumfries and Galloway,-1.292668442,Unfavourable
Dundee city,-0.809429647,Middle Group
Durham county council,-1.162067048,Unfavourable
Ealing,0.901105076,Middle Group
East Ayrshire,-0.894379089,Middle Group
East Dunbartonshire,-0.060788264,Middle Group
East Lothian,-0.884393144,Middle Group
East Renfrewshire,-0.423049651,Middle Group
East Riding of Yorkshire,-0.356519379,Middle Group
East Sussex county council,-0.343585445,Middle Group
Enfield,-0.484125823,Middle Group
Essex county council,1.144065596,Favourable
Falkirk,-0.522662844,Middle Group
Fife,-0.916957673,Middle Group
Flintshire county council,-0.777963851,Middle Group
Gateshead,-0.652115558,Middle Group
Glasgow,0.653117214,Middle Group
Gloucestershire county council,0.327894452,Middle Group
Greenwich,0.096181718,Middle Group
Gwynedd,-1.009373775,Unfavourable
Hackney,2.02530521,Most Favourable
Halton,-0.132886496,Middle Group
Hammersmith and Fulham,3.050721128,Most Favourable
Hampshire county council,0.650126334,Middle Group
Haringey,0.621980339,Middle Group
Harrow,0.209654582,Middle Group
Hartlepool,-1.454712384,Unfavourable
Havering,2.019011836,Most Favourable
Herefordshire,-0.036998577,Middle Group
Hertfordshire county council,1.129670038,Favourable
Highland,-0.401296354,Middle Group
Hillingdon,-0.211073298,Middle Group
Hounslow,0.765882001,Middle Group
Inverclyde,-0.311395407,Middle Group
Isle of Anglesey,-0.780202417,Middle Group
Isle of Wight,-0.506193729,Middle Group
Islington,2.746992344,Most Favourable
Kensington and Chelsea,1.011105687,Favourable
Kent county council,-0.015973202,Middle Group
Hull,-0.911403496,Middle Group
Kingston upon Thames,0.49217675,Middle Group
Kirklees,-0.777593046,Middle Group
Knowsley,-0.962783783,Middle Group
Lambeth,4.213320193,Most Favourable
Lancashire county council,0.116483746,Middle Group
Leeds,0.965447551,Middle Group
Leicester,-0.703680683,Middle Group
Leicestershire county council,0.697180401,Middle Group
Lewisham,2.081770592,Most Favourable
Lincolnshire county council,-0.58940673,Middle Group
Liverpool,-0.333597429,Middle Group
Luton,-0.301609652,Middle Group
Manchester,0.252636218,Middle Group
Medway,0.320482368,Middle Group
Merthyr Tydfil,-0.762809928,Middle Group
Merton,1.805150695,Favourable
Middlesbrough,-1.786239115,Least Favourable
Midlothian,0.047134067,Middle Group
Milton Keynes,0.701371685,Middle Group
Monmouthshire county council,-0.362552085,Middle Group
Moray,-1.255378933,Unfavourable
Na h-Eileanan Siar,-0.975634356,Middle Group
Neath Port Talbot,-1.190900551,Unfavourable
Newcastle upon Tyne,0.258673836,Middle Group
Newham,0.387813642,Middle Group
Newport,0.270943,Middle Group
North Ayrshire,-0.956147499,Middle Group
North East Lincolnshire,-0.894705487,Middle Group
North Lanarkshire,-0.747064135,Middle Group
North Lincolnshire,-1.545757254,Least Favourable
North Northamptonshire,-0.097572316,Middle Group
North Tyneside,-0.834521737,Middle Group
North Yorkshire county council,0.272888934,Middle Group
Northern Ireland,-0.862429096,Middle Group
Northumberland county council,-1.469043253,Unfavourable
Norfolk county council,-0.585860836,Middle Group
Nottingham,-0.056357225,Middle Group
Nottinghamshire county council,0.123503717,Middle Group
Oldham,-1.062952051,Unfavourable
