"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",44.228
"Berkshire, Buckinghamshire and Oxfordshire",51.079
"Cheshire",46.267
"Cornwall and Isles of Scilly",32.705
"Cumbria",28.855
"Derbyshire and Nottinghamshire",32.268
"Devon",35.325
"Dorset and Somerset",34.996
"East Anglia",31.609
"East Wales",39.031
"East Yorkshire and Northern Lincolnshire",26.847
"Eastern Scotland",41.431
"Essex",30.884
"Gloucestershire, Wiltshire and Bath/Bristol area",42.133
"Greater Manchester",35.661
"Hampshire and Isle of Wight",38.595
"Herefordshire, Worcestershire and Warwickshire",38.352
"Highlands and Islands",33.269
"Inner London - East",49.955
"Inner London - West",66.875
"Kent",35.385
"Lancashire",31.207
"Leicestershire, Rutland and Northamptonshire",32.755
"Lincolnshire",24.743
"Merseyside",33.965
"North Eastern Scotland",41.203
"North Yorkshire",38.919
"Northern Ireland",32.238
"Northumberland, and Tyne and Wear",30.518
"Outer London - East and North East",43.958
"Outer London - South",51.481
"Outer London - West and North West",53.114
"Shropshire and Staffordshire",31.839
"South Yorkshire",29.302
"Southern Scotland",28.745
"Surrey, East and West Sussex",45.309
"Tees Valley and Durham",27.59
"West Central Scotland",33.628
"West Midlands",30.843
"West Wales and The Valleys",29.395
"West Yorkshire",31.958
