ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2014,Lower working,40,Total,NA,NA,NA,NA,21.28816185,4699,20.1177399,22.4585838,0.597154056,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2015,Lower working,40,Total,NA,NA,NA,NA,20.82303654,4464,19.63188935,22.01418373,0.607728157,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2016,Lower working,40,Total,NA,NA,NA,NA,19.09435479,3904,17.86141158,20.327298,0.629052659,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2017,Lower working,40,Total,NA,NA,NA,NA,18.65873517,3772,17.41546134,19.90200899,0.63432338,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2018,Lower working,40,Total,NA,NA,NA,NA,18.67898456,3673,17.41854033,19.93942879,0.643083792,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2019,Lower working,40,Total,NA,NA,NA,NA,18.28338772,3585,17.01808337,19.54869208,0.645563446,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2020,Lower working,40,Total,NA,NA,NA,NA,16.3745138,2108,14.79481494,17.95421265,0.805968802,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2021,Lower working,40,Total,NA,NA,NA,NA,19.17406821,2881,17.73653815,20.61159828,0.733433706,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2022,Lower working,40,Total,NA,NA,NA,NA,19.74937337,2415,18.16156393,21.33718281,0.810106858,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2014,Higher working,40,Total,NA,NA,NA,NA,18.87692402,4264,17.70233674,20.05151129,0.599279223,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2015,Higher working,40,Total,NA,NA,NA,NA,19.05878915,4128,17.86061836,20.25695995,0.611311628,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2016,Higher working,40,Total,NA,NA,NA,NA,19.21238203,3992,17.990234,20.43453006,0.623544915,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2017,Higher working,40,Total,NA,NA,NA,NA,18.69440475,3804,17.45546025,19.93334926,0.632114545,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2018,Higher working,40,Total,NA,NA,NA,NA,18.02444439,3646,16.77671367,19.27217511,0.636597305,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2019,Higher working,40,Total,NA,NA,NA,NA,17.3079789,3478,16.05065762,18.56530017,0.641490447,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2020,Higher working,40,Total,NA,NA,NA,NA,16.94420759,2271,15.40128869,18.48712649,0.787203521,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2021,Higher working,40,Total,NA,NA,NA,NA,13.2738693,2217,11.8615042,14.68623441,0.720594441,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2022,Higher working,40,Total,NA,NA,NA,NA,13.57511334,1750,11.97028647,15.17994022,0.818789222,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2014,Intermediate,40,Total,NA,NA,NA,NA,21.17714892,4894,20.03246942,22.32182842,0.584020151,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2015,Intermediate,40,Total,NA,NA,NA,NA,21.42592439,4791,20.26406811,22.58778067,0.592783817,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2016,Intermediate,40,Total,NA,NA,NA,NA,21.84992165,4675,20.66536751,23.03447579,0.604364357,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2017,Intermediate,40,Total,NA,NA,NA,NA,21.92137801,4555,20.71991092,23.12284509,0.612993409,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2018,Intermediate,40,Total,NA,NA,NA,NA,21.68859629,4452,20.47797942,22.89921315,0.617661667,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2019,Intermediate,40,Total,NA,NA,NA,NA,21.74955206,4482,20.5417696,22.95733453,0.616215543,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2020,Intermediate,40,Total,NA,NA,NA,NA,21.52021116,3254,20.10816311,22.9322592,0.720432676,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2021,Intermediate,40,Total,NA,NA,NA,NA,21.73078704,3953,20.4451278,23.01644628,0.655948592,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2022,Intermediate,40,Total,NA,NA,NA,NA,19.88044824,2869,18.42004382,21.34085266,0.745104296,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2014,Lower professional,40,Total,NA,NA,NA,NA,24.60135665,5712,23.48443357,25.71827974,0.569858716,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2015,Lower professional,40,Total,NA,NA,NA,NA,24.08954129,5371,22.94589015,25.23319243,0.583495481,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2016,Lower professional,40,Total,NA,NA,NA,NA,24.33409416,5240,23.17224931,25.49593901,0.592777985,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2017,Lower professional,40,Total,NA,NA,NA,NA,25.24563315,5291,24.07505986,26.41620643,0.597231267,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2018,Lower professional,40,Total,NA,NA,NA,NA,25.6505154,5305,24.47534618,26.82568461,0.59957613,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2019,Lower professional,40,Total,NA,NA,NA,NA,26.07863386,5398,24.90733683,27.24993089,0.597600525,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2020,Lower professional,40,Total,NA,NA,NA,NA,26.81627566,4273,25.48797586,28.14457547,0.677703983,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2021,Lower professional,40,Total,NA,NA,NA,NA,26.07336087,5229,24.88336422,27.26335753,0.607141149,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2022,Lower professional,40,Total,NA,NA,NA,NA,26.73343686,3990,25.36018584,28.10668789,0.700638277,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2014,Higher professional,40,Total,NA,NA,NA,NA,14.05640856,3243,12.86014594,15.25267118,0.610338071,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2015,Higher professional,40,Total,NA,NA,NA,NA,14.60270863,3240,13.38674013,15.81867713,0.620392091,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2016,Higher professional,40,Total,NA,NA,NA,NA,15.50924736,3267,14.26793393,16.7505608,0.63332318,Percentage,NA
DR14,Distribution of parental occupation,Country,K02000001,United Kingdom,2017,Higher professional,40,Total,NA,NA,NA,NA,15.47984893,3197,14.22599125,16.73370661,0.639723306,Percentage,NA
