"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","sec_dependent_children","Higher professional","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",5,,,"2014-2025",23.147,22.106,24.215,6235,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","sec_dependent_children","Higher professional","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2014-2025",25.542,24.623,26.491,8475,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cheshire","sec_dependent_children","Higher professional","itl2_current_geo","Cheshire","quintile",5,,,"2014-2025",24.562,23.105,26.065,3315,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","sec_dependent_children","Higher professional","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,,,"2014-2025",12.44,11.033,14.042,1918,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cumbria","sec_dependent_children","Higher professional","itl2_current_geo","Cumbria","quintile",1,,,"2014-2025",12.015,10.45,13.712,1585,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","sec_dependent_children","Higher professional","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",2,,,"2014-2025",15.539,14.685,16.418,6831,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Devon","sec_dependent_children","Higher professional","itl2_current_geo","Devon","quintile",2,,,"2014-2025",15.265,14.148,16.458,3812,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Dorset and Somerset","sec_dependent_children","Higher professional","itl2_current_geo","Dorset and Somerset","quintile",3,,,"2014-2025",16.16,15.095,17.283,4437,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Anglia","sec_dependent_children","Higher professional","itl2_current_geo","East Anglia","quintile",3,,,"2014-2025",16.679,15.89,17.507,8290,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Wales","sec_dependent_children","Higher professional","itl2_current_geo","East Wales","quintile",3,,,"2014-2025",16.353,15.148,17.63,3492,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","sec_dependent_children","Higher professional","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,,,"2014-2025",10.914,9.813,12.116,2905,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Eastern Scotland","sec_dependent_children","Higher professional","itl2_current_geo","Eastern Scotland","quintile",4,,,"2014-2025",18.769,17.789,19.78,6006,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Essex","sec_dependent_children","Higher professional","itl2_current_geo","Essex","quintile",4,,,"2014-2025",17.634,16.654,18.664,5619,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","sec_dependent_children","Higher professional","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",5,,,"2014-2025",21.948,21.089,22.836,8738,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Greater Manchester","sec_dependent_children","Higher professional","itl2_current_geo","Greater Manchester","quintile",3,,,"2014-2025",15.903,15.141,16.696,8627,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Hampshire and Isle of Wight","sec_dependent_children","Higher professional","itl2_current_geo","Hampshire and Isle of Wight","quintile",4,,,"2014-2025",20.296,19.318,21.307,6381,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Herefordshire, Worcestershire and Warwickshire","sec_dependent_children","Higher professional","itl2_current_geo","Herefordshire, Worcestershire and Warwickshire","quintile",4,,,"2014-2025",20.001,18.869,21.172,4721,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Highlands and Islands","sec_dependent_children","Higher professional","itl2_current_geo","Highlands and Islands","quintile",1,,,"2014-2025",11.112,9.158,13.324,921,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Inner London - East","sec_dependent_children","Higher professional","itl2_current_geo","Inner London - East","quintile",4,,,"2014-2025",19.581,18.516,20.678,5267,"Percent",
