"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","sec_dependent_children","Lower working","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",2,,,"2014-2025",15.716,14.828,16.65,6235,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","sec_dependent_children","Lower working","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",1,,,"2014-2025",13.164,12.459,13.911,8475,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cheshire","sec_dependent_children","Lower working","itl2_current_geo","Cheshire","quintile",1,,,"2014-2025",14.455,13.279,15.703,3315,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","sec_dependent_children","Lower working","itl2_current_geo","Cornwall and Isles of Scilly","quintile",2,,,"2014-2025",17.086,15.457,18.879,1918,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Cumbria","sec_dependent_children","Lower working","itl2_current_geo","Cumbria","quintile",2,,,"2014-2025",16.357,14.572,18.275,1585,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","sec_dependent_children","Lower working","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",3,,,"2014-2025",19.386,18.455,20.344,6831,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Devon","sec_dependent_children","Lower working","itl2_current_geo","Devon","quintile",2,,,"2014-2025",15.714,14.58,16.917,3812,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Dorset and Somerset","sec_dependent_children","Lower working","itl2_current_geo","Dorset and Somerset","quintile",1,,,"2014-2025",14.637,13.607,15.709,4437,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Anglia","sec_dependent_children","Lower working","itl2_current_geo","East Anglia","quintile",3,,,"2014-2025",17.472,16.659,18.305,8290,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Wales","sec_dependent_children","Lower working","itl2_current_geo","East Wales","quintile",3,,,"2014-2025",18.221,16.954,19.543,3492,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","sec_dependent_children","Lower working","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",5,,,"2014-2025",25.428,23.871,27.072,2905,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Eastern Scotland","sec_dependent_children","Lower working","itl2_current_geo","Eastern Scotland","quintile",3,,,"2014-2025",18.483,17.512,19.492,6006,"Percent",
"dr14","Distribution of parental occupation","geography_caterpillar",,"ITL2","Essex","sec_dependent_children","Lower working","itl2_current_geo","Essex","quintile",2,,,"2014-2025",15.814,14.882,16.808,5619,"Percent",
