"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr51","Broadband speed","geography_caterpillar","TLC1","ITL2","Tees Valley and Durham","area_name","Tees Valley and Durham","quintile",3,,,,,"2025",87.881,,,535208,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLD7","ITL2","Merseyside","area_name","Merseyside","quintile",4,,,,,"2025",90.67,,,694316,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLD6","ITL2","Cheshire","area_name","Cheshire","quintile",3,,,,,"2025",87.073,,,416772,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLD4","ITL2","Lancashire","area_name","Lancashire","quintile",4,,,,,"2025",89.308,,,677594,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLE1","ITL2","East Yorkshire and Northern Lincolnshire","area_name","East Yorkshire and Northern Lincolnshire","quintile",5,,,,,"2025",94.2,,,437899,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLE2","ITL2","North Yorkshire","area_name","North Yorkshire","quintile",2,,,,,"2025",81.167,,,345489,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLF1","ITL2","Derbyshire and Nottinghamshire","area_name","Derbyshire and Nottinghamshire","quintile",4,,,,,"2025",89.232,,,966578,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLF2","ITL2","Leicestershire, Rutland and Northamptonshire","area_name","Leicestershire, Rutland and Northamptonshire","quintile",4,,,,,"2025",90.486,,,787282,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLG1","ITL2","Herefordshire, Worcestershire and Warwickshire","area_name","Herefordshire, Worcestershire and Warwickshire","quintile",2,,,,,"2025",84.293,,,573251,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLG2","ITL2","Shropshire and Staffordshire","area_name","Shropshire and Staffordshire","quintile",2,,,,,"2025",82.805,,,661659,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLK1","ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","area_name","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",3,,,,,"2025",84.305,,,1032580,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLK4","ITL2","Devon","area_name","Devon","quintile",1,,,,,"2025",76.936,,,480598,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLH1","ITL2","East Anglia","area_name","East Anglia","quintile",2,,,,,"2025",78.555,,,987932,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLH2","ITL2","Bedfordshire and Hertfordshire","area_name","Bedfordshire and Hertfordshire","quintile",3,,,,,"2025",87.951,,,752983,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLH3","ITL2","Essex","area_name","Essex","quintile",3,,,,,"2025",86.734,,,758747,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLJ4","ITL2","Kent","area_name","Kent","quintile",2,,,,,"2025",79.81,,,698126,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLJ1","ITL2","Berkshire, Buckinghamshire and Oxfordshire","area_name","Berkshire, Buckinghamshire and Oxfordshire","quintile",3,,,,,"2025",87.088,,,991528,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLJ2","ITL2","Surrey, East and West Sussex","area_name","Surrey, East and West Sussex","quintile",2,,,,,"2025",80.538,,,1113918,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLJ3","ITL2","Hampshire and Isle of Wight","area_name","Hampshire and Isle of Wight","quintile",3,,,,,"2025",85.347,,,814191,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLK3","ITL2","Cornwall and Isles of Scilly","area_name","Cornwall and Isles of Scilly","quintile",1,,,,,"2025",62.408,,,195581,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLC2","ITL2","Northumberland, and Tyne and Wear","area_name","Northumberland, and Tyne and Wear","quintile",4,,,,,"2025",88.614,,,652673,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLK2","ITL2","Dorset and Somerset","area_name","Dorset and Somerset","quintile",1,,,,,"2025",77.318,,,530637,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLD1","ITL2","Cumbria","area_name","Cumbria","quintile",1,,,,,"2025",74.952,,,208561,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLF3","ITL2","Lincolnshire","area_name","Lincolnshire","quintile",1,,,,,"2025",75.038,,,290541,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLD3","ITL2","Greater Manchester","area_name","Greater Manchester","quintile",5,,,,,"2025",93.163,,,1268579,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLE3","ITL2","South Yorkshire","area_name","South Yorkshire","quintile",5,,,,,"2025",93.093,,,623499,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLG3","ITL2","West Midlands","area_name","West Midlands","quintile",5,,,,,"2025",95.746,,,1227098,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLE4","ITL2","West Yorkshire","area_name","West Yorkshire","quintile",5,,,,,"2025",92.909,,,1022442,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLI3","ITL2","Inner London - West","area_name","Inner London - West","quintile",4,,,,,"2025",90.607,,,598148,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLI5","ITL2","Outer London - East and North East","area_name","Outer London - East and North East","quintile",5,,,,,"2025",92.117,,,738536,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLI7","ITL2","Outer London - West and North West","area_name","Outer London - West and North West","quintile",3,,,,,"2025",87.849,,,783280,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLI6","ITL2","Outer London - South","area_name","Outer London - South","quintile",4,,,,,"2025",91.192,,,525988,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLI4","ITL2","Inner London - East","area_name","Inner London - East","quintile",4,,,,,"2025",90.595,,,1012649,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLM7","ITL2","Eastern Scotland","area_name","Eastern Scotland","quintile",2,,,,,"2025",83.669,,,885136,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLM9","ITL2","Southern Scotland","area_name","Southern Scotland","quintile",1,,,,,"2025",76.128,,,392190,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLM8","ITL2","West Central Scotland","area_name","West Central Scotland","quintile",5,,,,,"2025",92.883,,,742369,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLM6","ITL2","Highlands and Islands","area_name","Highlands and Islands","quintile",1,,,,,"2025",45.653,,,132527,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLM5","ITL2","North Eastern Scotland","area_name","North Eastern Scotland","quintile",1,,,,,"2025",67.694,,,177748,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLL1","ITL2","West Wales and The Valleys","area_name","West Wales and The Valleys","quintile",1,,,,,"2025",76.405,,,760393,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLL2","ITL2","East Wales","area_name","East Wales","quintile",2,,,,,"2025",83.899,,,481721,"Percent",
"dr51","Broadband speed","geography_caterpillar","TLN0","ITL2","Northern Ireland","area_name","Northern Ireland","quintile",5,,,,,"2025",94,,,837339,"Percent",
