"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",87.951
"Berkshire, Buckinghamshire and Oxfordshire",87.088
"Cheshire",87.073
"Cornwall and Isles of Scilly",62.408
"Cumbria",74.952
"Derbyshire and Nottinghamshire",89.232
"Devon",76.936
"Dorset and Somerset",77.318
"East Anglia",78.555
"East Wales",83.899
"East Yorkshire and Northern Lincolnshire",94.2
"Eastern Scotland",83.669
"Essex",86.734
"Gloucestershire, Wiltshire and Bath/Bristol area",84.305
"Greater Manchester",93.163
"Hampshire and Isle of Wight",85.347
"Herefordshire, Worcestershire and Warwickshire",84.293
"Highlands and Islands",45.653
"Inner London - East",90.595
"Inner London - West",90.607
"Kent",79.81
"Lancashire",89.308
"Leicestershire, Rutland and Northamptonshire",90.486
"Lincolnshire",75.038
"Merseyside",90.67
"North Eastern Scotland",67.694
"North Yorkshire",81.167
"Northern Ireland",94
"Northumberland, and Tyne and Wear",88.614
"Outer London - East and North East",92.117
"Outer London - South",91.192
"Outer London - West and North West",87.849
"Shropshire and Staffordshire",82.805
"South Yorkshire",93.093
"Southern Scotland",76.128
"Surrey, East and West Sussex",80.538
"Tees Valley and Durham",87.881
"West Central Scotland",92.883
"West Midlands",95.746
"West Wales and The Valleys",76.405
"West Yorkshire",92.909
