"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year",2020,,,,,"2020-2025",25,,,,"Percent",
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year",2021,,,,,"2020-2025",45,,,,"Percent",
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year",2022,,,,,"2020-2025",70,,,,"Percent",
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year",2023,,,,,"2020-2025",77,,,,"Percent",
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year",2024,,,,,"2020-2025",83,,,,"Percent",
"dr51","Broadband speed","trend","E92000001","country","England","area_name","England","year",2025,,,,,"2020-2025",86.7,,,,"Percent",
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year",2020,,,,,"2020-2025",46,,,,"Percent",
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year",2021,,,,,"2020-2025",50,,,,"Percent",
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year",2022,,,,,"2020-2025",62,,,,"Percent",
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year",2023,,,,,"2020-2025",70,,,,"Percent",
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year",2024,,,,,"2020-2025",76,,,,"Percent",
"dr51","Broadband speed","trend","S92000003","country","Scotland","area_name","Scotland","year",2025,,,,,"2020-2025",79.7,,,,"Percent",
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year",2020,,,,,"2020-2025",18,,,,"Percent",
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year",2021,,,,,"2020-2025",35,,,,"Percent",
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year",2022,,,,,"2020-2025",51,,,,"Percent",
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year",2023,,,,,"2020-2025",63,,,,"Percent",
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year",2024,,,,,"2020-2025",72,,,,"Percent",
"dr51","Broadband speed","trend","W92000004","country","Wales","area_name","Wales","year",2025,,,,,"2020-2025",79.1,,,,"Percent",
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year",2020,,,,,"2020-2025",54,,,,"Percent",
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year",2021,,,,,"2020-2025",74,,,,"Percent",
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year",2022,,,,,"2020-2025",85,,,,"Percent",
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year",2023,,,,,"2020-2025",91,,,,"Percent",
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year",2024,,,,,"2020-2025",93,,,,"Percent",
"dr51","Broadband speed","trend","N92000002","country","Northern Ireland","area_name","Northern Ireland","year",2025,,,,,"2020-2025",94.2,,,,"Percent",
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year",2020,,,,,"2020-2025",27,,,,"Percent",
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year",2021,,,,,"2020-2025",46,,,,"Percent",
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year",2022,,,,,"2020-2025",69,,,,"Percent",
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year",2023,,,,,"2020-2025",76,,,,"Percent",
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year",2024,,,,,"2020-2025",82,,,,"Percent",
"dr51","Broadband speed","trend","K02000001","country","United Kingdom","area_name","United Kingdom","year",2025,,,,,"2020-2025",85.9,,,,"Percent",
