ind_code,ind_name,area_type,area_code,area_name,time_period,seb,age,sex,category_type,category,category_type2,category2,value,sample_size,lci,uci,se,unit,value_note
DR52,Business expenditure on research and development,ITL2,NA,Bedfordshire and Hertfordshire,2018,Total,NA,Total,Quintile,5,NA,NA,103.1739234,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,"Berkshire, Buckinghamshire and Oxfordshire",2018,Total,NA,Total,Quintile,5,NA,NA,112.3381935,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Cheshire,2018,Total,NA,Total,Quintile,5,NA,NA,90.86884542,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Cornwall and Isles of Scilly,2018,Total,NA,Total,Quintile,1,NA,NA,5.441271072,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Cumbria,2018,Total,NA,Total,Quintile,4,NA,NA,36.5283738,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Derbyshire and Nottinghamshire,2018,Total,NA,Total,Quintile,5,NA,NA,66.82863344,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Devon,2018,Total,NA,Total,Quintile,1,NA,NA,14.6522105,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Dorset and Somerset,2018,Total,NA,Total,Quintile,2,NA,NA,20.90166568,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,East Anglia,2018,Total,NA,Total,Quintile,5,NA,NA,120.2782283,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,East Wales,2018,Total,NA,Total,Quintile,2,NA,NA,20.66185521,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,East Yorkshire and Northern Lincolnshire,2018,Total,NA,Total,Quintile,3,NA,NA,22.3225849,NA,NA,NA,NA,British Pound,NA
DR52,Business expenditure on research and development,ITL2,NA,Eastern Scotland,2018,Total,NA,Total,Quintile,4,NA,NA,44.53598453,NA,NA,NA,NA,British Pound,NA
