"Region","Expenditure in millions of pounds per 100,000 people (£m)"
"Bedfordshire and Hertfordshire",152.155
"Berkshire, Buckinghamshire and Oxfordshire",189.152
"Cheshire",202.114
"Cornwall and Isles of Scilly",92.546
"Cumbria",44.059
"Derbyshire and Nottinghamshire",43.596
"Devon",44.719
"Dorset and Somerset",44.621
"East Anglia",236.905
"East Wales",49.024
"East Yorkshire and Northern Lincolnshire",19.012
"Eastern Scotland",79.217
"Essex",50.58
"Gloucestershire, Wiltshire and Bath/Bristol area",87.819
"Greater Manchester",34.555
"Hampshire and Isle of Wight",63.075
"Herefordshire, Worcestershire and Warwickshire",223.243
"Highlands and Islands",12.622
"Inner London - East",125.198
"Inner London - West",789.731
"Kent",39.189
"Lancashire",56.692
"Leicestershire, Rutland and Northamptonshire",55.052
"Lincolnshire",11.653
"Merseyside",29.059
"North Eastern Scotland",102.645
"North Yorkshire",57.662
"Northern Ireland",39.318
"Northumberland, and Tyne and Wear",33.315
"Outer London - East and North East",1.505
"Outer London - South",15.773
"Outer London - West and North West",57.901
"Shropshire and Staffordshire",23.154
"South Yorkshire",17.475
"Southern Scotland",12.233
"Surrey, East and West Sussex",72.297
"Tees Valley and Durham",18.787
"West Central Scotland",34.319
"West Midlands",40.868
"West Wales and The Valleys",14.735
"West Yorkshire",34.576
