"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",4,"rdjob",1,,,"2014-2025",16.474,15.788,17.186,10956,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,"rdjob",1,,,"2014-2025",20.067,19.449,20.695,16033,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Cheshire","quintile",5,"rdjob",1,,,"2014-2025",17.005,16.101,17.964,6360,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,"rdjob",1,,,"2014-2025",9.964,9.057,10.956,3933,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Cumbria","quintile",1,"rdjob",1,,,"2014-2025",10.936,9.944,12.031,3536,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",3,"rdjob",1,,,"2014-2025",13.179,12.622,13.756,13848,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Devon","quintile",2,"rdjob",1,,,"2014-2025",11.893,11.19,12.646,7740,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Dorset and Somerset","quintile",2,"rdjob",1,,,"2014-2025",11.859,11.2,12.558,8860,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","East Anglia","quintile",3,"rdjob",1,,,"2014-2025",13.836,13.318,14.369,16776,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","East Wales","quintile",3,"rdjob",1,,,"2014-2025",13.062,12.277,13.883,6884,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,"rdjob",1,,,"2014-2025",9.173,8.43,9.974,5505,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Eastern Scotland","quintile",4,"rdjob",1,,,"2014-2025",16.196,15.557,16.851,12604,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Essex","quintile",3,"rdjob",1,,,"2014-2025",12.586,11.956,13.24,10418,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",5,"rdjob",1,,,"2014-2025",17.86,17.292,18.441,17257,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Greater Manchester","quintile",3,"rdjob",1,,,"2014-2025",13.808,13.275,14.357,15796,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Hampshire and Isle of Wight","quintile",4,"rdjob",1,,,"2014-2025",15.432,14.813,16.081,12626,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Herefordshire, Worcestershire and Warwickshire","quintile",4,"rdjob",1,,,"2014-2025",14.83,14.125,15.553,9646,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Highlands and Islands","quintile",1,"rdjob",1,,,"2014-2025",8.587,7.464,9.845,2214,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Inner London - East","quintile",5,"rdjob",1,,,"2014-2025",20.337,19.584,21.108,10843,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Inner London - West","quintile",5,"rdjob",1,,,"2014-2025",19.864,18.7,21.088,4369,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Kent","quintile",2,"rdjob",1,,,"2014-2025",12.537,11.895,13.214,9841,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Lancashire","quintile",2,"rdjob",1,,,"2014-2025",11.184,10.548,11.859,9037,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Leicestershire, Rutland and Northamptonshire","quintile",3,"rdjob",1,,,"2014-2025",13.64,13.032,14.268,12025,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Lincolnshire","quintile",1,"rdjob",1,,,"2014-2025",10.006,9.194,10.903,4862,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Merseyside","quintile",2,"rdjob",1,,,"2014-2025",11.985,11.271,12.729,7762,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","North Eastern Scotland","quintile",5,"rdjob",1,,,"2014-2025",17.685,16.324,19.098,2977,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","North Yorkshire","quintile",3,"rdjob",1,,,"2014-2025",12.915,12.1,13.789,6176,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Northern Ireland","quintile",2,"rdjob",1,,,"2014-2025",11.323,10.93,11.729,24410,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Northumberland, and Tyne and Wear","quintile",2,"rdjob",1,,,"2014-2025",12.093,11.449,12.777,9407,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Outer London - East and North East","quintile",4,"rdjob",1,,,"2014-2025",14.392,13.687,15.127,9276,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Outer London - South","quintile",5,"rdjob",1,,,"2014-2025",18.515,17.636,19.421,7379,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Outer London - West and North West","quintile",5,"rdjob",1,,,"2014-2025",17.543,16.788,18.317,9641,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Shropshire and Staffordshire","quintile",2,"rdjob",1,,,"2014-2025",11.509,10.883,12.164,9689,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","South Yorkshire","quintile",1,"rdjob",1,,,"2014-2025",10.836,10.177,11.53,8260,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Southern Scotland","quintile",1,"rdjob",1,,,"2014-2025",9.77,9.034,10.554,5989,"Percent",
