"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",16.474
"Berkshire, Buckinghamshire and Oxfordshire",20.067
"Cheshire",17.005
"Cornwall and Isles of Scilly",9.964
"Cumbria",10.936
"Derbyshire and Nottinghamshire",13.179
"Devon",11.893
"Dorset and Somerset",11.859
"East Anglia",13.836
"East Wales",13.062
"East Yorkshire and Northern Lincolnshire",9.173
"Eastern Scotland",16.196
"Essex",12.586
"Gloucestershire, Wiltshire and Bath/Bristol area",17.86
"Greater Manchester",13.808
"Hampshire and Isle of Wight",15.432
"Herefordshire, Worcestershire and Warwickshire",14.83
"Highlands and Islands",8.587
"Inner London - East",20.337
"Inner London - West",19.864
"Kent",12.537
"Lancashire",11.184
"Leicestershire, Rutland and Northamptonshire",13.64
"Lincolnshire",10.006
"Merseyside",11.985
"North Eastern Scotland",17.685
"North Yorkshire",12.915
"Northern Ireland",11.323
"Northumberland, and Tyne and Wear",12.093
"Outer London - East and North East",14.392
"Outer London - South",18.515
"Outer London - West and North West",17.543
"Shropshire and Staffordshire",11.509
"South Yorkshire",10.836
"Southern Scotland",9.77
"Surrey, East and West Sussex",16.124
"Tees Valley and Durham",10.65
"West Central Scotland",14.37
"West Midlands",12.523
"West Wales and The Valleys",10.227
"West Yorkshire",13.795
