"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2014","rdjob",,,,,,"2014-2025",87.742,87.419,88.056,41080,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2015","rdjob",,,,,,"2014-2025",87.859,87.533,88.178,39684,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2016","rdjob",,,,,,"2014-2025",87.302,86.961,87.634,37988,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2017","rdjob",,,,,,"2014-2025",87.48,87.142,87.81,37955,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2018","rdjob",,,,,,"2014-2025",86.549,86.202,86.891,37986,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2019","rdjob",,,,,,"2014-2025",86.458,86.106,86.805,37147,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2020","rdjob",,,,,,"2014-2025",84.862,84.452,85.266,30013,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2021","rdjob",,,,,,"2014-2025",84.759,84.395,85.114,38761,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2022","rdjob",,,,,,"2014-2025",84.048,83.622,84.468,29028,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2023","rdjob",,,,,,"2014-2025",83.313,82.757,83.851,18006,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2024","rdjob",,,,,,"2014-2025",84.121,83.664,84.568,25317,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2025","rdjob",,,,,,"2014-2025",84.019,83.616,84.411,32893,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2014","rdjob",1,,,,,"2014-2025",12.258,11.944,12.581,41080,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2015","rdjob",1,,,,,"2014-2025",12.141,11.822,12.467,39684,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2016","rdjob",1,,,,,"2014-2025",12.698,12.366,13.039,37988,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2017","rdjob",1,,,,,"2014-2025",12.52,12.19,12.858,37955,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2018","rdjob",1,,,,,"2014-2025",13.451,13.109,13.798,37986,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2019","rdjob",1,,,,,"2014-2025",13.542,13.195,13.894,37147,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2020","rdjob",1,,,,,"2014-2025",15.138,14.734,15.548,30013,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2021","rdjob",1,,,,,"2014-2025",15.241,14.886,15.605,38761,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2022","rdjob",1,,,,,"2014-2025",15.952,15.532,16.378,29028,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2023","rdjob",1,,,,,"2014-2025",16.687,16.149,17.243,18006,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2024","rdjob",1,,,,,"2014-2025",15.879,15.432,16.336,25317,"Percent",
"dr54","New economy jobs","trend","K02000001","country","United Kingdom","year","2025","rdjob",1,,,,,"2014-2025",15.981,15.589,16.384,32893,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",4,"rdjob",1,,,"2014-2025",16.474,15.788,17.186,10956,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,"rdjob",1,,,"2014-2025",20.067,19.449,20.695,16033,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Cheshire","quintile",5,"rdjob",1,,,"2014-2025",17.005,16.101,17.964,6360,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,"rdjob",1,,,"2014-2025",9.964,9.057,10.956,3933,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Cumbria","quintile",1,"rdjob",1,,,"2014-2025",10.936,9.944,12.031,3536,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",3,"rdjob",1,,,"2014-2025",13.179,12.622,13.756,13848,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Devon","quintile",2,"rdjob",1,,,"2014-2025",11.893,11.19,12.646,7740,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Dorset and Somerset","quintile",2,"rdjob",1,,,"2014-2025",11.859,11.2,12.558,8860,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","East Anglia","quintile",3,"rdjob",1,,,"2014-2025",13.836,13.318,14.369,16776,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","East Wales","quintile",3,"rdjob",1,,,"2014-2025",13.062,12.277,13.883,6884,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,"rdjob",1,,,"2014-2025",9.173,8.43,9.974,5505,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Eastern Scotland","quintile",4,"rdjob",1,,,"2014-2025",16.196,15.557,16.851,12604,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Essex","quintile",3,"rdjob",1,,,"2014-2025",12.586,11.956,13.24,10418,"Percent",
"dr54","New economy jobs","geography",,"ITL2","United Kingdom","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",5,"rdjob",1,,,"2014-2025",17.86,17.292,18.441,17257,"Percent",
