"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",14.026
"Berkshire, Buckinghamshire and Oxfordshire",18.506
"Cheshire",16.042
"Cornwall and Isles of Scilly",10.059
"Cumbria",10.283
"Derbyshire and Nottinghamshire",10.633
"Devon",11.465
"Dorset and Somerset",10.877
"East Anglia",11.684
"East Wales",14.285
"East Yorkshire and Northern Lincolnshire",7.682
"Eastern Scotland",15.093
"Essex",9.647
"Gloucestershire, Wiltshire and Bath/Bristol area",15.271
"Greater Manchester",12.086
"Hampshire and Isle of Wight",12.101
"Herefordshire, Worcestershire and Warwickshire",12.127
"Highlands and Islands",9.02
"Inner London - East",25.695
"Inner London - West",31.993
"Kent",10.834
"Lancashire",10.004
"Leicestershire, Rutland and Northamptonshire",10.456
"Lincolnshire",7.204
"Merseyside",10.994
"North Eastern Scotland",15.137
"North Yorkshire",14.465
"Northern Ireland",10.006
"Northumberland, and Tyne and Wear",10.783
"Outer London - East and North East",15.767
"Outer London - South",20.57
"Outer London - West and North West",21.857
"Shropshire and Staffordshire",9.552
"South Yorkshire",12.388
"Southern Scotland",7.089
"Surrey, East and West Sussex",14.856
"Tees Valley and Durham",8.531
"West Central Scotland",12.561
"West Midlands",10.998
"West Wales and The Valleys",10.222
"West Yorkshire",10.914
