"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2014",,,,,"2014-2025",9.294,9.044,9.549,51197,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2015",,,,,"2014-2025",10.905,10.633,11.184,49425,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2016",,,,,"2014-2025",11.951,11.66,12.25,46897,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2017",,,,,"2014-2025",12.12,11.826,12.42,46815,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2018",,,,,"2014-2025",12.417,12.119,12.72,46551,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2019",,,,,"2014-2025",13.08,12.772,13.395,45327,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2020",,,,,"2014-2025",13.914,13.561,14.273,36583,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2021",,,,,"2014-2025",14.215,13.902,14.533,47479,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2022",,,,,"2014-2025",15.05,14.683,15.424,36001,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2023",,,,,"2014-2025",16.146,15.666,16.634,22392,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2024",,,,,"2014-2025",16.082,15.674,16.496,30950,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2025",,,,,"2014-2025",17.058,16.691,17.43,40006,"Percent",
