"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2014",,,,,"2014-2025",9.294,9.044,9.549,51197,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2015",,,,,"2014-2025",10.905,10.633,11.184,49425,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2016",,,,,"2014-2025",11.951,11.66,12.25,46897,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2017",,,,,"2014-2025",12.12,11.826,12.42,46815,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2018",,,,,"2014-2025",12.417,12.119,12.72,46551,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2019",,,,,"2014-2025",13.08,12.772,13.395,45327,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2020",,,,,"2014-2025",13.914,13.561,14.273,36583,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2021",,,,,"2014-2025",14.215,13.902,14.533,47479,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2022",,,,,"2014-2025",15.05,14.683,15.424,36001,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2023",,,,,"2014-2025",16.146,15.666,16.634,22392,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2024",,,,,"2014-2025",16.082,15.674,16.496,30950,"Percent",
"dr53","Postgraduate education","trend","K02000001","country","United Kingdom","higher_degree_binary","Higher degree","year","2025",,,,,"2014-2025",17.058,16.691,17.43,40006,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","higher_degree_binary","Higher degree","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",4,,,"2014-2025",14.026,13.435,14.638,12976,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","higher_degree_binary","Higher degree","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2014-2025",18.506,17.955,19.073,18711,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Cheshire","higher_degree_binary","Higher degree","itl2_current_geo","Cheshire","quintile",5,,,"2014-2025",16.042,15.233,16.892,7641,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","higher_degree_binary","Higher degree","itl2_current_geo","Cornwall and Isles of Scilly","quintile",2,,,"2014-2025",10.059,9.244,10.945,4929,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Cumbria","higher_degree_binary","Higher degree","itl2_current_geo","Cumbria","quintile",2,,,"2014-2025",10.283,9.415,11.244,4352,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","higher_degree_binary","Higher degree","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",2,,,"2014-2025",10.633,10.176,11.104,17167,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Devon","higher_degree_binary","Higher degree","itl2_current_geo","Devon","quintile",3,,,"2014-2025",11.465,10.827,12.124,9424,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","Dorset and Somerset","higher_degree_binary","Higher degree","itl2_current_geo","Dorset and Somerset","quintile",2,,,"2014-2025",10.877,10.3,11.487,10736,"Percent",
"dr53","Postgraduate education","geography_caterpillar",,"ITL2","East Anglia","higher_degree_binary","Higher degree","itl2_current_geo","East Anglia","quintile",3,,,"2014-2025",11.684,11.245,12.133,20305,"Percent",
