"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",1997,,,,,,,"1997-2025",12.972,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",1998,,,,,,,"1997-2025",13.277,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",1999,,,,,,,"1997-2025",13.629,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2000,,,,,,,"1997-2025",14.026,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2001,,,,,,,"1997-2025",14.558,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2002,,,,,,,"1997-2025",14.93,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2003,,,,,,,"1997-2025",15.059,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2004,,,,,,,"1997-2025",15.184,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2005,,,,,,,"1997-2025",15.173,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2006,,,,,,,"1997-2025",15.258,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2007,,,,,,,"1997-2025",15.374,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2008,,,,,,,"1997-2025",15.257,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2009,,,,,,,"1997-2025",15.339,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2010,,,,,,,"1997-2025",14.811,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2011,,,,,,,"1997-2025",13.962,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2012,,,,,,,"1997-2025",13.8,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2013,,,,,,,"1997-2025",13.8,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2014,,,,,,,"1997-2025",13.717,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2015,,,,,,,"1997-2025",13.924,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2016,,,,,,,"1997-2025",14.415,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2017,,,,,,,"1997-2025",14.479,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2018,,,,,,,"1997-2025",14.737,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2019,,,,,,,"1997-2025",15.208,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2020,,,,,,,"1997-2025",15.536,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2021,,,,,,,"1997-2025",15.556,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2022,,,,,,,"1997-2025",15.254,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2023,,,,,,,"1997-2025",15.506,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2024,,,,,,,"1997-2025",15.835,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
"dr34","Labour market earnings of young people","trend","K02000001","country","United Kingdom","year",2025,,,,,,,"1997-2025",15.88,,,,"GBP (£)","Adjusted for inflation with 2024 as the base year"
