"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","sec_employed","Higher professional","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",5,,,"2014-2025",17.05,15.178,19.069,1485,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","sec_employed","Higher professional","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",5,,,"2014-2025",19.91,18.198,21.739,2009,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Cheshire","sec_employed","Higher professional","itl2_current_geo","Cheshire","quintile",4,,,"2014-2025",15.46,13.195,18.136,864,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","sec_employed","Higher professional","itl2_current_geo","Cornwall and Isles of Scilly","quintile",1,,,"2014-2025",8.707,6.422,11.685,482,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Cumbria","sec_employed","Higher professional","itl2_current_geo","Cumbria","quintile",1,,,"2014-2025",9.57,7.173,12.441,516,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","sec_employed","Higher professional","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",3,,,"2014-2025",13.828,12.379,15.431,2031,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Devon","sec_employed","Higher professional","itl2_current_geo","Devon","quintile",2,,,"2014-2025",12.11,10.145,14.299,994,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Dorset and Somerset","sec_employed","Higher professional","itl2_current_geo","Dorset and Somerset","quintile",2,,,"2014-2025",11.315,9.578,13.334,1148,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","East Anglia","sec_employed","Higher professional","itl2_current_geo","East Anglia","quintile",2,,,"2014-2025",11.966,10.701,13.371,2347,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","East Wales","sec_employed","Higher professional","itl2_current_geo","East Wales","quintile",4,,,"2014-2025",14.377,12.189,16.77,942,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","sec_employed","Higher professional","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",1,,,"2014-2025",9.167,7.289,11.323,834,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Eastern Scotland","sec_employed","Higher professional","itl2_current_geo","Eastern Scotland","quintile",3,,,"2014-2025",13.224,11.742,14.892,1843,"Percent",
"dr33","Type of employment opportunities for young people","geography_caterpillar",,"ITL2","Essex","sec_employed","Higher professional","itl2_current_geo","Essex","quintile",4,,,"2014-2025",14.264,12.535,16.127,1510,"Percent",
