"ind_code","ind_name","area_type","area_code","area_name","time_period","seb","age","sex","category_type","category","category_type2","category2","value","sample_size","lci","uci","se","unit","value_note"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2014","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,17.4854379301185,5896,16.5158640876828,18.4550117725542,0.49468053185496,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2015","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,15.2889721623619,5679,14.3529648154794,16.2249795092443,0.477554768817578,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2016","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,14.3523587925931,5246,13.4035880737638,15.3011295114224,0.484066693280242,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2017","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,13.1945496223714,4895,12.2464575699631,14.1426416747797,0.483720434902191,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2018","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,12.331258984223,4646,11.3858002830964,13.2767176853495,0.482376888329879,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2019","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,13.1101917062628,4455,12.1190833042613,14.1013001082643,0.505667552041582,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2020","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,15.9251360563879,3233,14.6638085074773,17.1864636052986,0.64353446372991,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2021","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,13.0702268341899,4026,12.0290007921379,14.1114528762419,0.53123777655715,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","Country","K02000001","United Kingdom","2022","Total","16 to 24","Total","Unemployment","2. ILO unemployed",NA,NA,11.1363042145824,3024,10.0150659599014,12.2575424692633,0.572060334020888,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Bedfordshire and Hertfordshire","2014 to 2022","Total","16 to 24","Total","Quintile","2",NA,NA,12.161628339996,379,8.87103307747794,15.4522236025141,1.67887513393779,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Berkshire, Buckinghamshire and Oxfordshire","2014 to 2022","Total","16 to 24","Total","Quintile","1",NA,NA,11.5336624572917,471,8.64884551165343,14.4184794029299,1.47184538042766,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Cheshire","2014 to 2022","Total","16 to 24","Total","Quintile","1",NA,NA,10.1884731532844,160,5.50123875051559,14.8757075560531,2.39144612386162,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Cornwall and Isles of Scilly","2014 to 2022","Total","16 to 24","Total","Quintile","3",NA,NA,12.8489080631262,153,7.54641775725104,18.1513983690015,2.7053521968751,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Cumbria","2014 to 2022","Total","16 to 24","Total","Quintile","3",NA,NA,13.1229401777689,132,7.36274449112971,18.8831358644081,2.93887535032612,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Derbyshire and Nottinghamshire","2014 to 2022","Total","16 to 24","Total","Quintile","4",NA,NA,14.0960718400372,478,10.9764806371302,17.2156630429442,1.59162816474847,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Devon","2014 to 2022","Total","16 to 24","Total","Quintile","1",NA,NA,11.5748653791417,264,7.71564173330644,15.4340890249771,1.96899165603843,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","Dorset and Somerset","2014 to 2022","Total","16 to 24","Total","Quintile","3",NA,NA,12.3995864052314,284,8.56645613372649,16.2327166767363,1.95567870995149,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","East Anglia","2014 to 2022","Total","16 to 24","Total","Quintile","4",NA,NA,13.981856604961,538,11.0513521381207,16.9123610718013,1.49515534022464,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
"DR32","Youth unemployment","ITL2","TLH2","East Wales","2014 to 2022","Total","16 to 24","Total","Quintile","3",NA,NA,13.6702700972179,266,9.54184897049173,17.7986912239441,2.10633730955418,"Percentage","Percentage out of economically active people, meaning those in employment or unemployed"
