"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Bedfordshire and Hertfordshire","unemp_binary","Unemployed","itl2_current_geo","Bedfordshire and Hertfordshire","quintile",4,,,"2014-2025",14.544,12.714,16.583,1327,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","unemp_binary","Unemployed","itl2_current_geo","Berkshire, Buckinghamshire and Oxfordshire","quintile",1,,,"2014-2025",11.286,9.876,12.918,1733,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Cheshire","unemp_binary","Unemployed","itl2_current_geo","Cheshire","quintile",1,,,"2014-2025",8.913,6.996,11.281,729,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Cornwall and Isles of Scilly","unemp_binary","Unemployed","itl2_current_geo","Cornwall and Isles of Scilly","quintile",2,,,"2014-2025",12.043,9.499,15.306,520,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Cumbria","unemp_binary","Unemployed","itl2_current_geo","Cumbria","quintile",1,,,"2014-2025",11.104,8.433,14.473,450,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Derbyshire and Nottinghamshire","unemp_binary","Unemployed","itl2_current_geo","Derbyshire and Nottinghamshire","quintile",4,,,"2014-2025",15.606,13.956,17.443,1722,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Devon","unemp_binary","Unemployed","itl2_current_geo","Devon","quintile",1,,,"2014-2025",10.546,8.789,12.684,1011,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Dorset and Somerset","unemp_binary","Unemployed","itl2_current_geo","Dorset and Somerset","quintile",2,,,"2014-2025",12.622,10.74,14.753,1102,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","East Anglia","unemp_binary","Unemployed","itl2_current_geo","East Anglia","quintile",3,,,"2014-2025",14.005,12.593,15.556,2177,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","East Wales","unemp_binary","Unemployed","itl2_current_geo","East Wales","quintile",4,,,"2014-2025",15.193,12.813,17.804,832,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","East Yorkshire and Northern Lincolnshire","unemp_binary","Unemployed","itl2_current_geo","East Yorkshire and Northern Lincolnshire","quintile",5,,,"2014-2025",20.13,17.292,23.185,742,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Eastern Scotland","unemp_binary","Unemployed","itl2_current_geo","Eastern Scotland","quintile",2,,,"2014-2025",12.64,11.042,14.444,1526,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Essex","unemp_binary","Unemployed","itl2_current_geo","Essex","quintile",2,,,"2014-2025",12.037,10.363,13.939,1329,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","unemp_binary","Unemployed","itl2_current_geo","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",2,,,"2014-2025",12.577,11.196,14.117,2050,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Greater Manchester","unemp_binary","Unemployed","itl2_current_geo","Greater Manchester","quintile",4,,,"2014-2025",16.847,15.221,18.562,1985,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Hampshire and Isle of Wight","unemp_binary","Unemployed","itl2_current_geo","Hampshire and Isle of Wight","quintile",2,,,"2014-2025",11.971,10.412,13.713,1546,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Herefordshire, Worcestershire and Warwickshire","unemp_binary","Unemployed","itl2_current_geo","Herefordshire, Worcestershire and Warwickshire","quintile",1,,,"2014-2025",11.315,9.524,13.386,1087,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Highlands and Islands","unemp_binary","Unemployed","itl2_current_geo","Highlands and Islands","quintile",1,,,"2014-2025",8.78,5.723,12.731,278,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Inner London - East","unemp_binary","Unemployed","itl2_current_geo","Inner London - East","quintile",5,,,"2014-2025",19.17,16.912,21.664,1095,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Inner London - West","unemp_binary","Unemployed","itl2_current_geo","Inner London - West","quintile",2,,,"2014-2025",11.776,8.78,15.401,393,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Kent","unemp_binary","Unemployed","itl2_current_geo","Kent","quintile",3,,,"2014-2025",13.509,11.663,15.605,1206,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Lancashire","unemp_binary","Unemployed","itl2_current_geo","Lancashire","quintile",2,,,"2014-2025",11.605,9.902,13.594,1213,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Leicestershire, Rutland and Northamptonshire","unemp_binary","Unemployed","itl2_current_geo","Leicestershire, Rutland and Northamptonshire","quintile",3,,,"2014-2025",13.868,12.227,15.72,1563,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Lincolnshire","unemp_binary","Unemployed","itl2_current_geo","Lincolnshire","quintile",3,,,"2014-2025",13.171,10.634,16.135,616,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Merseyside","unemp_binary","Unemployed","itl2_current_geo","Merseyside","quintile",4,,,"2014-2025",14.498,12.346,16.902,960,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","North Eastern Scotland","unemp_binary","Unemployed","itl2_current_geo","North Eastern Scotland","quintile",1,,,"2014-2025",10.8,8.006,14.27,409,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","North Yorkshire","unemp_binary","Unemployed","itl2_current_geo","North Yorkshire","quintile",1,,,"2014-2025",9.593,7.616,11.892,775,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Northern Ireland","unemp_binary","Unemployed","itl2_current_geo","Northern Ireland","quintile",1,,,"2014-2025",10.196,9.142,11.39,2879,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Northumberland, and Tyne and Wear","unemp_binary","Unemployed","itl2_current_geo","Northumberland, and Tyne and Wear","quintile",5,,,"2014-2025",17.795,15.717,20.08,1225,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Outer London - East and North East","unemp_binary","Unemployed","itl2_current_geo","Outer London - East and North East","quintile",5,,,"2014-2025",18.958,16.674,21.526,1043,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Outer London - South","unemp_binary","Unemployed","itl2_current_geo","Outer London - South","quintile",5,,,"2014-2025",17.391,14.84,20.255,788,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Outer London - West and North West","unemp_binary","Unemployed","itl2_current_geo","Outer London - West and North West","quintile",5,,,"2014-2025",20.689,18.148,23.4,949,"Percent",
"dr32","Youth unemployment","geography_caterpillar",,"ITL2","Shropshire and Staffordshire","unemp_binary","Unemployed","itl2_current_geo","Shropshire and Staffordshire","quintile",3,,,"2014-2025",13.226,11.414,15.28,1232,"Percent",
