"Region","Percentage (%)"
"Bedfordshire and Hertfordshire",14.544
"Berkshire, Buckinghamshire and Oxfordshire",11.286
"Cheshire",8.913
"Cornwall and Isles of Scilly",12.043
"Cumbria",11.104
"Derbyshire and Nottinghamshire",15.606
"Devon",10.546
"Dorset and Somerset",12.622
"East Anglia",14.005
"East Wales",15.193
"East Yorkshire and Northern Lincolnshire",20.13
"Eastern Scotland",12.64
"Essex",12.037
"Gloucestershire, Wiltshire and Bath/Bristol area",12.577
"Greater Manchester",16.847
"Hampshire and Isle of Wight",11.971
"Herefordshire, Worcestershire and Warwickshire",11.315
"Highlands and Islands",8.78
"Inner London - East",19.17
"Inner London - West",11.776
"Kent",13.509
"Lancashire",11.605
"Leicestershire, Rutland and Northamptonshire",13.868
"Lincolnshire",13.171
"Merseyside",14.498
"North Eastern Scotland",10.8
"North Yorkshire",9.593
"Northern Ireland",10.196
"Northumberland, and Tyne and Wear",17.795
"Outer London - East and North East",18.958
"Outer London - South",17.391
"Outer London - West and North West",20.689
"Shropshire and Staffordshire",13.226
"South Yorkshire",14.237
"Southern Scotland",12.327
"Surrey, East and West Sussex",12.974
"Tees Valley and Durham",18.167
"West Central Scotland",13.012
"West Midlands",20.388
"West Wales and The Valleys",14.306
"West Yorkshire",14.951
