"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","age_with_text"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1993,"age",25,,,2018,25.497,20.017,30.977,243,"Percentage",,"Age 25"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1993,"age",32,,,2025,31.632,25.529,37.736,223,"Percentage",,"Age 32"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1992,"age",25,,,2017,21.738,16.743,26.732,262,"Percentage",,"Age 25"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1992,"age",32,,,2024,32.292,25.59,38.994,187,"Percentage",,"Age 32"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1991,"age",25,,,2016,27.846,22.397,33.294,260,"Percentage",,"Age 25"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1991,"age",32,,,2023,31.407,22.849,39.965,113,"Percentage",,"Age 32"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1990,"age",25,,,2015,26.4,21.309,31.491,288,"Percentage",,"Age 25"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1990,"age",32,,,2022,36.189,28.648,43.731,156,"Percentage",,"Age 32"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1989,"age",25,,,2014,19.573,14.883,24.262,275,"Percentage",,"Age 25"
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1989,"age",32,,,2021,38.02,32.015,44.026,251,"Percentage",,"Age 32"
