"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in41","Further training and qualifications","seb","K02000001","country","United Kingdom","seb_three_cat","Working","age",25,,,,,2018,25.497,20.017,30.977,243,"Percentage",
"in41","Further training and qualifications","seb","K02000001","country","United Kingdom","seb_three_cat","Working","age",32,,,,,2025,31.632,25.529,37.736,223,"Percentage",
"in41","Further training and qualifications","seb","K02000001","country","United Kingdom","seb_three_cat","Intermediate","age",25,,,,,2018,37.83,29.224,46.436,122,"Percentage",
"in41","Further training and qualifications","seb","K02000001","country","United Kingdom","seb_three_cat","Intermediate","age",32,,,,,2025,58.787,51.431,66.143,172,"Percentage",
"in41","Further training and qualifications","seb","K02000001","country","United Kingdom","seb_three_cat","Professional","age",25,,,,,2018,51.171,44.443,57.9,212,"Percentage",
"in41","Further training and qualifications","seb","K02000001","country","United Kingdom","seb_three_cat","Professional","age",32,,,,,2025,68.157,62.911,73.402,303,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1993,"age",25,,,2018,25.497,20.017,30.977,243,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1993,"age",32,,,2025,31.632,25.529,37.736,223,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1993,"age",25,,,2018,51.171,44.443,57.9,212,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1993,"age",32,,,2025,68.157,62.911,73.402,303,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1992,"age",25,,,2017,21.738,16.743,26.732,262,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1992,"age",32,,,2024,32.292,25.59,38.994,187,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1992,"age",25,,,2017,63.9,57.959,69.842,251,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1992,"age",32,,,2024,72.663,66.097,79.229,177,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1991,"age",25,,,2016,27.846,22.397,33.294,260,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1991,"age",32,,,2023,31.407,22.849,39.965,113,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1991,"age",25,,,2016,57.091,50.68,63.501,229,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1991,"age",32,,,2023,64,55.339,72.661,118,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1990,"age",25,,,2015,26.4,21.309,31.491,288,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1990,"age",32,,,2022,36.189,28.648,43.731,156,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1990,"age",25,,,2015,55.085,48.894,61.276,248,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1990,"age",32,,,2022,72.935,67.255,78.616,235,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1989,"age",25,,,2014,19.573,14.883,24.262,275,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Working","cohort",1989,"age",32,,,2021,38.02,32.015,44.026,251,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1989,"age",25,,,2014,55.988,49.399,62.578,218,"Percentage",
"in41","Further training and qualifications","trend","K02000001","country","United Kingdom","seb_three_cat","Professional","cohort",1989,"age",32,,,2021,68.431,63.145,73.717,297,"Percentage",
