"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",23545.123,19321.188,27769.058,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",28237.577,23788.741,32686.412,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",32467.271,28060.422,36874.12,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",32406.161,27588.734,37223.589,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",38463.524,33690.489,43236.56,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",25533.772,21819.338,29248.207,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",30305.867,26386.063,34225.672,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",34118.529,30244.579,37992.478,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",34439.087,30132.458,38745.716,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",40458.974,36201.885,44716.063,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",27402.835,24121.72,30683.95,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",32254.571,28789.531,35719.611,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",35650.199,32232.875,39067.523,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",36352.425,32486.596,40218.255,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",42334.836,38521.948,46147.725,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",29152.31,26227.534,32077.087,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",34083.688,30998.538,37168.837,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",37062.282,34024.831,40099.733,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",38146.176,34651.692,41640.66,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",44091.112,40651.104,47531.12,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",30782.199,28137.71,33426.687,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",35793.217,33013.863,38572.571,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",38354.779,35621.773,41087.784,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",39820.34,36629.362,43011.318,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",45727.8,42591.059,48864.542,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",32292.5,29855.882,34729.118,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",37383.159,34838.486,39927.833,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",39527.688,37027.801,42027.575,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",41374.917,38422.59,44327.245,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",47244.902,44345.21,50144.593,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",33683.214,31388.885,35977.543,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",38853.515,36478.102,41228.927,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",40581.01,38250.334,42911.686,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",42809.907,40035.773,45584.042,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",48642.416,45918.75,51366.082,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",34954.341,32746.178,37162.505,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",40204.283,37940.851,42467.715,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",41514.745,39299.653,43729.837,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",44125.31,41474.329,46776.291,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",49920.343,47318.235,52522.451,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",33,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",36105.881,33938.101,38273.662,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",33,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",41435.464,39236.027,43634.902,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",33,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",42328.893,40187.271,44470.515,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",33,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",45321.126,42743.848,47898.403,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",33,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",51078.683,48550.578,53606.789,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",34,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",37137.834,34973.644,39302.025,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",34,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",42547.058,40372.153,44721.963,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",34,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",43023.454,40923.684,45123.225,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",34,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",46397.355,43848.988,48945.721,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",34,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",52117.436,49621.725,54613.147,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",35,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",38050.2,35858.592,40241.809,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",35,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",43539.065,41355.148,45722.983,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",35,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",43598.428,41516.306,45680.55,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",35,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",47353.996,44792.474,49915.519,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",35,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",53036.602,50535.446,55537.758,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",36,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",38842.979,36594.591,41091.367,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",36,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",44411.485,42187.17,46635.8,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",36,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",44053.815,41968.112,46139.518,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",36,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",48191.051,45574.53,50807.572,,"Predictive margins in pounds sterling",
"in43","Income progression","seb","K02000001","country","United Kingdom","age",36,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",53836.181,51292.587,56379.775,,"Predictive margins in pounds sterling",
