"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.281,0.249,0.313,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.35,0.319,0.381,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.467,0.436,0.497,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.489,0.456,0.522,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.609,0.581,0.637,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.299,0.272,0.327,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.369,0.341,0.397,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.481,0.454,0.508,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.512,0.482,0.543,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.63,0.604,0.657,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.316,0.292,0.341,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.387,0.362,0.411,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.494,0.47,0.518,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.534,0.506,0.561,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.65,0.626,0.674,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.333,0.311,0.354,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.403,0.382,0.425,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.505,0.483,0.526,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.553,0.528,0.579,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.667,0.645,0.69,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.348,0.329,0.367,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.419,0.399,0.438,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.514,0.495,0.534,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.571,0.548,0.595,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.683,0.662,0.704,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.362,0.345,0.379,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.433,0.414,0.451,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.522,0.504,0.54,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.588,0.566,0.609,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.697,0.677,0.717,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.375,0.359,0.39,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.445,0.428,0.462,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.528,0.511,0.545,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.602,0.581,0.623,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.709,0.691,0.728,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.386,0.371,0.401,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.456,0.439,0.472,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.533,0.517,0.549,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower professional","sex","Men","year","2023 to 2025","2014 to 2025",0.615,0.595,0.634,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher professional","sex","Men","year","2023 to 2025","2014 to 2025",0.72,0.702,0.738,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Lower working","sex","Men","year","2023 to 2025","2014 to 2025",0.396,0.381,0.41,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Higher working","sex","Men","year","2023 to 2025","2014 to 2025",0.465,0.449,0.481,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Intermediate","sex","Men","year","2023 to 2025","2014 to 2025",0.536,0.52,0.552,,"Predictive margins",
