"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.277,0.246,0.308,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.409,0.378,0.439,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.404,0.375,0.433,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.535,0.5,0.57,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",25,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.631,0.602,0.659,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.291,0.263,0.318,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.421,0.394,0.448,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.42,0.394,0.446,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.55,0.518,0.582,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",26,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.642,0.616,0.669,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.304,0.279,0.328,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.432,0.408,0.456,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.434,0.411,0.458,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.563,0.535,0.592,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",27,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.653,0.628,0.677,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.316,0.294,0.338,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.442,0.421,0.464,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.448,0.427,0.469,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.575,0.549,0.601,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",28,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.661,0.639,0.683,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.327,0.307,0.347,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.451,0.431,0.47,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.46,0.441,0.479,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.585,0.562,0.609,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",29,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.669,0.648,0.689,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.337,0.319,0.355,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.458,0.44,0.476,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.47,0.453,0.488,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.594,0.572,0.616,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",30,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.675,0.656,0.694,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.346,0.329,0.363,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.464,0.447,0.481,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.48,0.463,0.496,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.601,0.581,0.622,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",31,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.68,0.662,0.698,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.354,0.338,0.37,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.468,0.452,0.484,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.487,0.472,0.503,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.608,0.588,0.627,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",32,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.683,0.666,0.701,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.361,0.345,0.376,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.471,0.456,0.487,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.494,0.479,0.509,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.612,0.594,0.631,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",33,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.686,0.669,0.703,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",34,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.366,0.351,0.381,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",34,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.473,0.458,0.488,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",34,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.499,0.484,0.514,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",34,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.616,0.598,0.634,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",34,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.687,0.671,0.704,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",35,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.37,0.355,0.385,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",35,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.473,0.458,0.489,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",35,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.503,0.488,0.518,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",35,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.618,0.6,0.635,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",35,"seb","Higher professional","sex","Women","year","2023 to 2025","2014 to 2025",0.687,0.671,0.704,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",36,"seb","Lower working","sex","Women","year","2023 to 2025","2014 to 2025",0.373,0.357,0.388,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",36,"seb","Higher working","sex","Women","year","2023 to 2025","2014 to 2025",0.472,0.456,0.488,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",36,"seb","Intermediate","sex","Women","year","2023 to 2025","2014 to 2025",0.505,0.49,0.52,,"Predictive margins",
"in42","Occupational progression","seb","K02000001","country","United Kingdom","age",36,"seb","Lower professional","sex","Women","year","2023 to 2025","2014 to 2025",0.618,0.601,0.636,,"Predictive margins",
