"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN12","Attainment at age 11","ITL2","","Bedfordshire and Hertfordshire","2021-2022","Not eligible","11","Total",NA,NA,62.46703185,19716,61.78172609,63.13851683,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Berkshire, Buckinghamshire and Oxfordshire","2021-2022","Not eligible","11","Total",NA,NA,64.60183979,25329,64.00930291,65.19102498,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Cheshire","2021-2022","Not eligible","11","Total",NA,NA,66.4621905,8966,65.47414072,67.43953346,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Cornwall and Isles of Scilly","2021-2022","Not eligible","11","Total",NA,NA,59.7107438,4840,58.29232781,61.07613716,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Cumbria","2021-2022","Not eligible","11","Total",NA,NA,61.06547759,4261,59.58250642,62.53326211,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Derbyshire and Nottinghamshire","2021-2022","Not eligible","11","Total",NA,NA,63.49714166,19067,62.80914553,64.18101963,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Devon","2021-2022","Not eligible","11","Total",NA,NA,62.20128904,10085,61.23661291,63.1390886,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Dorset and Somerset","2021-2022","Not eligible","11","Total",NA,NA,61.63177285,11129,60.72087339,62.53658314,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","East Anglia","2021-2022","Not eligible","11","Total",NA,NA,59.389693,21694,58.72803553,60.03961558,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","East Yorkshire and Northern Lincolnshire","2021-2022","Not eligible","11","Total",NA,NA,64.02555911,7825,62.95074226,65.08991986,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Essex","2021-2022","Not eligible","11","Total",NA,NA,64.41579465,17297,63.69703763,65.12970179,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Gloucestershire, Wiltshire and Bath/Bristol area","2021-2022","Not eligible","11","Total",NA,NA,63.71422329,22885,63.08298417,64.33323935,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Greater Manchester","2021-2022","Not eligible","11","Total",NA,NA,64.90235793,26167,64.31669872,65.47706386,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Hampshire and Isle of Wight","2021-2022","Not eligible","11","Total",NA,NA,62.95867577,17278,62.22777273,63.67364109,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Herefordshire, Worcestershire and Warwickshire","2021-2022","Not eligible","11","Total",NA,NA,64.47778324,12198,63.61277287,65.31948783,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Inner London - East","2021-2022","Not eligible","11","Total",NA,NA,71.36317396,15728,70.64959111,72.06884807,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Inner London - West","2021-2022","Not eligible","11","Total",NA,NA,76.03952244,4858,74.8134991,77.2341759,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Kent","2021-2022","Not eligible","11","Total",NA,NA,64.84770081,17006,64.11878099,65.55978114,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Lancashire","2021-2022","Not eligible","11","Total",NA,NA,62.92247951,13906,62.11345054,63.72609793,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Leicestershire, Rutland and Northamptonshire","2021-2022","Not eligible","11","Total",NA,NA,64.20717904,18554,63.50709472,64.89203067,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Lincolnshire","2021-2022","Not eligible","11","Total",NA,NA,60.91627172,6330,59.6856713,62.10522404,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Merseyside","2021-2022","Not eligible","11","Total",NA,NA,63.62422827,11986,62.75558217,64.48625317,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","North Yorkshire","2021-2022","Not eligible","11","Total",NA,NA,63.496483,6824,62.32656085,64.62556598,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Northumberland, and Tyne and Wear","2021-2022","Not eligible","11","Total",NA,NA,67.332254,11118,66.44247181,68.19496755,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Outer London - East and North East","2021-2022","Not eligible","11","Total",NA,NA,70.18089763,18961,69.51875543,70.82629988,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Outer London - South","2021-2022","Not eligible","11","Total",NA,NA,71.32271527,11741,70.48660503,72.13121165,NA,"Percentage",NA
"IN12","Attainment at age 11","ITL2","","Outer London - West and North West","2021-2022","Not eligible","11","Total",NA,NA,71.06970468,19267,70.4236987,71.70934693,NA,"Percentage",NA
