"Ind_code","Ind_name","Area_type","Area_code","Area_name","Time_period","SEB","Age","Sex","Category_type","Category","Value","Sample_size","LCI","UCI","SE","Unit","Value_note"
"IN12","Attaintment at age 11","National","E92000001","England","2011",NA,"11","Total",NA,NA,3.3408,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2012",NA,"11","Total",NA,NA,3.2339,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2013",NA,"11","Total",NA,NA,3.1588,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2014",NA,"11","Total",NA,NA,3.1534,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2015",NA,"11","Total",NA,NA,3.103,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2016",NA,"11","Total",NA,NA,3.0252,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2017",NA,"11","Total",NA,NA,2.9995,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2018",NA,"11","Total",NA,NA,2.8985,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2019",NA,"11","Total",NA,NA,2.9134,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2020",NA,"11","Total",NA,NA,NA,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2021",NA,"11","Total",NA,NA,NA,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
"IN12","Attaintment at age 11","National","E92000001","England","2022",NA,"11","Total",NA,NA,3.2276,NA,NA,NA,NA,"Gap index","Disadvantage attainment gap index for England at key stage 2"
