"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in12","Attainment at age 11","geography_map",,"ITL2","Bedfordshire and Hertfordshire","seb","FSM eligible","area_name","Bedfordshire and Hertfordshire","quintile",2,,,"2025",41.918,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","seb","FSM eligible","area_name","Berkshire, Buckinghamshire and Oxfordshire","quintile",2,,,"2025",44.345,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Cheshire","seb","FSM eligible","area_name","Cheshire","quintile",3,,,"2025",44.938,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Cornwall and Isles of Scilly","seb","FSM eligible","area_name","Cornwall and Isles of Scilly","quintile",3,,,"2025",46.177,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Cumbria","seb","FSM eligible","area_name","Cumbria","quintile",1,,,"2025",37.221,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Derbyshire and Nottinghamshire","seb","FSM eligible","area_name","Derbyshire and Nottinghamshire","quintile",3,,,"2025",45.571,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Devon","seb","FSM eligible","area_name","Devon","quintile",2,,,"2025",43.123,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Dorset and Somerset","seb","FSM eligible","area_name","Dorset and Somerset","quintile",1,,,"2025",40.384,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","East Anglia","seb","FSM eligible","area_name","East Anglia","quintile",1,,,"2025",41.855,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","East Yorkshire and Northern Lincolnshire","seb","FSM eligible","area_name","East Yorkshire and Northern Lincolnshire","quintile",4,,,"2025",50.641,,,,"Percent",
