"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note"
"in12","Attainment at age 11","geography_map",,"ITL2","Bedfordshire and Hertfordshire","seb","Not FSM eligible","area_name","Bedfordshire and Hertfordshire","quintile",1,,,"2025",66.39,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Berkshire, Buckinghamshire and Oxfordshire","seb","Not FSM eligible","area_name","Berkshire, Buckinghamshire and Oxfordshire","quintile",3,,,"2025",69.405,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Cheshire","seb","Not FSM eligible","area_name","Cheshire","quintile",4,,,"2025",70.164,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Cornwall and Isles of Scilly","seb","Not FSM eligible","area_name","Cornwall and Isles of Scilly","quintile",1,,,"2025",65.86,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Cumbria","seb","Not FSM eligible","area_name","Cumbria","quintile",1,,,"2025",62.233,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Derbyshire and Nottinghamshire","seb","Not FSM eligible","area_name","Derbyshire and Nottinghamshire","quintile",3,,,"2025",68.574,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Devon","seb","Not FSM eligible","area_name","Devon","quintile",1,,,"2025",65.179,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Dorset and Somerset","seb","Not FSM eligible","area_name","Dorset and Somerset","quintile",1,,,"2025",65.297,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","East Anglia","seb","Not FSM eligible","area_name","East Anglia","quintile",1,,,"2025",64.491,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","East Yorkshire and Northern Lincolnshire","seb","Not FSM eligible","area_name","East Yorkshire and Northern Lincolnshire","quintile",3,,,"2025",68.784,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Essex","seb","Not FSM eligible","area_name","Essex","quintile",4,,,"2025",70.057,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Gloucestershire, Wiltshire and Bath/Bristol area","seb","Not FSM eligible","area_name","Gloucestershire, Wiltshire and Bath/Bristol area","quintile",2,,,"2025",66.722,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Greater Manchester","seb","Not FSM eligible","area_name","Greater Manchester","quintile",4,,,"2025",70.076,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Hampshire and Isle of Wight","seb","Not FSM eligible","area_name","Hampshire and Isle of Wight","quintile",2,,,"2025",67.359,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Herefordshire, Worcestershire and Warwickshire","seb","Not FSM eligible","area_name","Herefordshire, Worcestershire and Warwickshire","quintile",2,,,"2025",66.44,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Inner London - East","seb","Not FSM eligible","area_name","Inner London - East","quintile",5,,,"2025",77.382,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Inner London - West","seb","Not FSM eligible","area_name","Inner London - West","quintile",5,,,"2025",80.324,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Kent","seb","Not FSM eligible","area_name","Kent","quintile",4,,,"2025",69.781,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Lancashire","seb","Not FSM eligible","area_name","Lancashire","quintile",2,,,"2025",67.152,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Leicestershire, Rutland and Northamptonshire","seb","Not FSM eligible","area_name","Leicestershire, Rutland and Northamptonshire","quintile",2,,,"2025",66.565,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Lincolnshire","seb","Not FSM eligible","area_name","Lincolnshire","quintile",1,,,"2025",65.548,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Merseyside","seb","Not FSM eligible","area_name","Merseyside","quintile",2,,,"2025",67.08,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","North Yorkshire","seb","Not FSM eligible","area_name","North Yorkshire","quintile",2,,,"2025",66.698,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Northumberland, and Tyne and Wear","seb","Not FSM eligible","area_name","Northumberland, and Tyne and Wear","quintile",5,,,"2025",71.789,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Outer London - East and North East","seb","Not FSM eligible","area_name","Outer London - East and North East","quintile",5,,,"2025",75.049,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Outer London - South","seb","Not FSM eligible","area_name","Outer London - South","quintile",5,,,"2025",75.373,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Outer London - West and North West","seb","Not FSM eligible","area_name","Outer London - West and North West","quintile",5,,,"2025",75.693,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Shropshire and Staffordshire","seb","Not FSM eligible","area_name","Shropshire and Staffordshire","quintile",3,,,"2025",67.439,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","South Yorkshire","seb","Not FSM eligible","area_name","South Yorkshire","quintile",3,,,"2025",69.71,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Surrey, East and West Sussex","seb","Not FSM eligible","area_name","Surrey, East and West Sussex","quintile",3,,,"2025",68.44,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","Tees Valley and Durham","seb","Not FSM eligible","area_name","Tees Valley and Durham","quintile",4,,,"2025",71.615,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","West Midlands","seb","Not FSM eligible","area_name","West Midlands","quintile",4,,,"2025",69.953,,,,"Percent",
"in12","Attainment at age 11","geography_map",,"ITL2","West Yorkshire","seb","Not FSM eligible","area_name","West Yorkshire","quintile",3,,,"2025",68.658,,,,"Percent",
