"measure_code","measure_title","chart_type","area_code","area_type","area_name","primary_split_type","primary_split_value","secondary_split_type","secondary_split_value","tertiary_split_type","tertiary_split_value","fourth_split_type","fourth_split_value","time_period","value","lci","uci","sample_size","unit","value_note","value_for_chart","split_value"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2015/16",36,,,"94841","Percentage",,"36","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2016/17",43,,,"95930","Percentage",,"43","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2017/18",46,,,"96998","Percentage",,"46","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2018/19",46,,,"100390","Percentage",,"46","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2019/20",,,,"x","Percentage",,"x","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2020/21",,,,"x","Percentage",,"x","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2021/22",39,,,"101378","Percentage",,"39","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2022/23",41,,,"104102","Percentage",,"41","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2023/24",42,,,"103872","Percentage",,"42","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Disadvantaged",,,,,"2024/25",44,,,"106024","Percentage",,"44","Boys - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2015/16",56,,,"204134","Percentage",,"56","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2016/17",64,,,"210019","Percentage",,"64","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2017/18",67,,,"219592","Percentage",,"67","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2018/19",66,,,"228488","Percentage",,"66","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2019/20",,,,"x","Percentage",,"x","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2020/21",,,,"x","Percentage",,"x","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2021/22",61,,,"238498","Percentage",,"61","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2022/23",63,,,"238573","Percentage",,"63","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2023/24",64,,,"233886","Percentage",,"64","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Boys","seb","Not known to be disadvantaged",,,,,"2024/25",66,,,"226303","Percentage",,"66","Boys - Not known to be disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2015/16",43,,,"91662","Percentage",,"43","Girls - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2016/17",52,,,"93342","Percentage",,"52","Girls - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2017/18",55,,,"93530","Percentage",,"55","Girls - Disadvantaged"
"in12","Attainment at age 11","sex","E92000001","Country","England","sex","Girls","seb","Disadvantaged",,,,,"2018/19",57,,,"96904","Percentage",,"57","Girls - Disadvantaged"
