"Region","FSM eligible (%)","Not FSM eligible (%)"
"Bedfordshire and Hertfordshire",26.351,47.141
"Berkshire, Buckinghamshire and Oxfordshire",26.035,58.889
"Cheshire",18.882,51.219
"Cornwall and Isles of Scilly",21.54,49.383
"Cumbria",18.756,44.027
"Derbyshire and Nottinghamshire",23.007,48.452
"Devon",24.261,55.047
"Dorset and Somerset",23.674,51.298
"East Anglia",23.256,45.606
"East Yorkshire and Northern Lincolnshire",23.695,45.578
"Essex",28.773,57.498
"Gloucestershire, Wiltshire and Bath/Bristol area",22.214,50.774
"Greater Manchester",27.204,50.632
"Hampshire and Isle of Wight",20.932,45.852
"Herefordshire, Worcestershire and Warwickshire",23.214,47.329
"Inner London - East",39.577,56.653
"Inner London - West",41.128,66.578
"Kent",23.256,50.105
"Lancashire",23.66,46.591
"Leicestershire, Rutland and Northamptonshire",23.512,47.323
"Merseyside",20.319,48.084
"North Yorkshire",23.403,54.44
"Northumberland, and Tyne and Wear",23.148,53.088
"Outer London - East and North East",32.946,55.909
"Outer London - South",33.174,63.675
"Outer London - West and North West",37.5,62.475
"Shropshire and Staffordshire",19.149,42.651
"South Yorkshire",22.213,51.114
"Surrey, East and West Sussex",25.125,55.543
"Tees Valley and Durham",26.265,51.117
"West Midlands",28.464,50.572
"West Yorkshire",25.65,52.565
